RC104_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0
    1      25         85          4          0        191         10
    2      22         75         30          0        199         10
    3      22         85         12          0        190         10
    4      20         80         40        141        171         10
    5      20         85         34          0        189         10
    6      18         75          8          0        196         10
    7      15         75         32          0        194         10
    8      15         80         10         91        121         10
    9      10         35         20         91        121         10
   10      10         40         30          0        198         10

CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      23         86          5          0        191         10          3
    1      22         74         18          0        199         10          2
    2      21         81          2          0        190         10          3
    3      16         76          1        141        209         10          4
    4      19         86          3          0        189         10          5
    5      13         77          6          0        196         10          7
    6       8         70          1          0        194         10          7
    7      16         79          5         91        169         10          8
    8       8         37          6         91        141         10          9
    9       8         38         22          0        198         10         10
   10      20         81          2          0        190         10          5
   11      16         84          4          0        189         10          5
   12      20         85          7          0        191         10          5
   13       7         33          2         91        167         10          9
   14      19         87         13          0        189         10          5
   15      20         80         25        141        239         10          4
   16      15         73         13          0        194         10          7
   17      16         83          1         91        241         10          8
   18      12         79          1         91        237         10          8
   19      14         80          1         91        196         10          8
   20      20         84          2          0        190         10          5
   21      10         43          6          0        198         10         10
   22      12         69          1          0        196         10          7
   23      24         79         10        141        289         10          4
   24      18         78          1          0        196         10          6
   25      20         75         12          0        199         10          2
   26      17         74          7          0        196         10          6
   27      14         32          9         91        251         10          9
   28      19         80          1        141        214         10          4
   29      19         76          1         91        217         10          8
   30       9         84          1         91        236         10          8
   31      27         81          4          0        190         10          1
   32      16         73          1          0        194         10          7
   33       9         41          3         91        240         10          9
   34       9         41          2          0        198         10         10
   35      15         76          5          0        194         10          7
   36      15         79          3        141        210         10          4
   37      19         85          3          0        191         10          5
   38      13         79          5          0        196         10          7
   39      22         82          5          0        191         10          3
