RC104_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20          0        196         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30          0        198         10   

CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      20         89         13          0        191          3          1
    1      27         82          6          0        199          3          2
    2      28         82          4          0        190          3          3
    3      18         70          9        159        189          1          4
    4      15         81         20          0        189         10          5
    5      12         75          7          0        196          2          6
    6      11         78          7          0        194          2          7
    7       7         88          2         98        128          2          8
    8      11         33          9        100        130          3          9
    9      13         33          4          0        198          1         10
   10       8         44         14          0        198          1         10
   11      15         83          7          0        194          2          7
   12      15         73          5        100        130          2          8
   13      25         74         13        166        196          1          4
   14      24         69         10          0        199          3          2
   15      23         71          1          0        194          2          7
   16      29         89          1          0        190          3          3
   17      24         80          8        182        212          1          4
   18      12         74          1        106        136          2          8
   19      27         80          8        142        172          1          4
   20      19         79          4          0        196          2          6
   21       5         43          8          0        198          1         10
   22      22         69          1          0        196          2          6
   23      17         49          1          0        198          1         10
   24      30         81          5          0        191          3          1
   25      18         75          2          0        191          3          1
   26      22         67          1          0        194          2          7
   27      14         75          3          0        196          2          6
   28      11         39          4        118        148          3          9
   29      13         78          1        130        160          2          8
   30      18         69          5          0        196          2          6
   31       9         39          2          0        198          1         10
   32      18         82          1        162        192          1          4
   33      19         78          1         98        128          2          8
   34      21         72         14          0        199          3          2
   35       7         40          1          0        198          1         10
   36      12         76          4          0        194          2          7
   37      22         82          1        185        215          1          4
   38      21         83          5          0        190          3          3
   39       1         47          7        123        153          3          9
