RC104_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0
    1      25         85         17          0        191         10
    2      22         75         49          0        199         10
    3      22         85          4          0        190         10
    4      20         80         40        141        171         10
    5      20         85         15          0        189         10
    6      18         75         13          0        196         10
    7      15         75         22          0        194         10
    8      15         80         10         91        121         10
    9      10         35         20         91        121         10
   10      10         40         30          0        198         10

CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      16         97          4          0        191          3          5
    1      14         79          5          0        199          2          7
    2      25         79          1          0        190          1          2
    3      18         86          9        182        212          5          4
    4      25         78         10          0        189          5          2
    5      13         75         14          0        196          2          7
    6      18         86          6          0        194          2          5
    7       7         80          4        122        152          1          8
    8      24         32          3        134        164          2          9
    9      13         34         30          0        198         10         10
   10       3         41         13        133        163          2          9
   11      15         74         31        157        187          5          4
   12      29         60          1          0        196          2          2
   13      21         94          4          0        190          1          3
   14       9         35          2        133        163          2          9
   15      33         88         10          0        191          3          1
   16      17         71          1        123        153          1          8
   17      31         64         19          0        199          2          2
   18      14         96          1          0        190          1          5
   19      19         75          1          0        196          2          6
   20      32         91          6          0        191          3          1
   21      18         84          1        109        139          1          8
   22      10         33          2        127        157          2          9
   23      21         73         10          0        189          5          2
   24      20         86          1          0        190          1          5
   25      23         69          3          0        199          2          2
   26      18         70          5          0        194          2          6
   27      24         79          1          0        190          1          2
   28      19        100          1          0        190          1          5
   29      19         69          2        129        159          1          8
   30      21         70          1          0        199          2          2
   31      17         85          2          0        199          2          5
   32      18         67          6          0        194          2          6
   33      25         86          1          0        190          1          1
   34      10         84          1        106        136          1          8
   35      10         61          1          0        194          2          7
   36      22         73          3          0        196          2          2
   37      20         82          1        101        131          1          8
   38      16         72          2          0        194          2          7
   39      19         69          1          0        196          2          6
