C105_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        885        994         90   
    2      45         70         30        802        893         90   
    3      42         66         10         25        186         90   
    4      42         68         10        699        810         90   
    5      42         65         10         15        120         90   
    6      40         69         20        580        743         90   
    7      40         66         20        142        253         90   
    8      38         68         20        220        359         90   
    9      38         70         10        499        640         90   
   10      35         66         10        331        436         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         68          4        885       1459         90          1
    1      45         70         10        802        986         90          2
    2      44         63          1         25        296         90          3
    3      44         69          1        699       1018         90          4
    4      40         63          4         15        568         90          5
    5      39         67         20        580        962         90          6
    6      40         64         11        142        483         90          7
    7      41         62         14        220        736         90          8
    8      40         74          1        499        715         90          9
    9      31         61          3        331        590         90         10
   10      35         69          2        220        544         90          8
   11      42         65          5         25        359         90          3
   12      38         72          2        499        745         90          9
   13      36         59          1        331        743         90         10
   14      32         70          2        220        841         90          8
   15      41         70          1         25        506         90          3
   16      38         63          6        142        526         90          7
   17      45         72          3        885       1134         90          1
   18      43         67          1        699       1054         90          4
   19      40         68          3        499        821         90          9
   20      43         73          3        885       1268         90          1
   21      42         63          2        142        685         90          7
   22      37         70          1        499        637         90          9
   23      35         65          4        699        969         90          4
   24      44         72          1        499       1099         90          9
   25      34         74          1        499       1069         90          9
   26      44         59          2         25        589         90          3
   27      38         71          4        331        531         90         10
   28      34         64          1        331        855         90         10
   29      42         65          3        699       1186         90          4
   30      41         71          1        220        461         90          8
   31      38         72          1        499        701         90          9
   32      43         64         15        802       1163         90          2
   33      44         62          6         15        629         90          5
   34      42         66          1        699       1141         90          4
   35      44         73          1        220        613         90          8
   36      37         59          1         25        303         90          3
   37      27         65          1        331        714         90         10
   38      41         68          1        142        337         90          7
   39      41         68          5        802       1021         90          2
