C106_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        890        989         90   
    2      45         70         30        816        879         90   
    3      42         66         10         55        156         90   
    4      42         68         10        703        806         90   
    5      42         65         10         15         60         90   
    6      40         69         20        559        764         90   
    7      40         66         20        172        223         90   
    8      38         68         20        250        329         90   
    9      38         70         10        489        650         90   
   10      35         66         10        361        406         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      49         65          6        890       1063         90          1
    1      40         68         13        816        971         90          2
    2      39         65          5         55        226         90          3
    3      44         63          3        703        841         90          4
    4      39         64          5         15        303         90          5
    5      41         71         20        559        692         90          6
    6      39         67         10        172        591         90          7
    7      30         70          3        250        609         90          8
    8      38         69          2        489        889         90          9
    9      34         66          5        361        668         90         10
   10      38         68          6        250        602         90          8
   11      42         66          5        172        491         90          7
   12      40         70          5        250        596         90          8
   13      34         65          6        250        681         90          8
   14      29         68          5        489        942         90          9
   15      40         66          1        172        487         90          7
   16      39         76          3        489        652         90          9
   17      45         73         12        816        926         90          2
   18      43         66          3        703       1185         90          4
   19      46         67          4        890       1251         90          1
   20      35         66          2        361        550         90         10
   21      42         70          1         15        179         90          5
   22      41         68          3         15        162         90          5
   23      42         68          1        172        440         90          7
   24      39         63          1        172        583         90          7
   25      34         68          2        361        618         90         10
   26      41         60          1         15        402         90          5
   27      41         67          1        703       1162         90          4
   28      44         72          1        816       1267         90          2
   29      38         67          2         55        379         90          3
   30      39         72          1         55        385         90          3
   31      44         64          1        172        536         90          7
   32      48         67          1        816       1241         90          2
   33      45         65          3        816       1285         90          2
   34      32         62          1        361        694         90         10
   35      42         66          2         55        291         90          3
   36      33         71          1        703        992         90          4
   37      35         70          1        703       1213         90          4
   38      36         68          1        172        600         90          7
   39      41         64          1        703        853         90          4
