C107_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        850       1030         90   
    2      45         70         30        758        938         90   
    3      42         66         10         16        196         90   
    4      42         68         10        665        845         90   
    5      42         65         10         15        195         90   
    6      40         69         20        572        752         90   
    7      40         66         20        108        288         90   
    8      38         68         20        200        380         90   
    9      38         70         10        480        660         90   
   10      35         66         10        294        474         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      49         66          4        850       1460         90          1
    1      43         66         19        758       1566         90          2
    2      37         65          1         16        466         90          3
    3      39         72          1        665        877         90          4
    4      48         69          3         15        497         90          5
    5      40         67          5        572       1416         90          6
    6      41         68         14        108        994         90          7
    7      37         64         10        200        680         90          8
    8      41         66         10        480       1127         90          9
    9      38         67          5        294        872         90         10
   10      43         65          1        200       1080         90          8
   11      34         71          4        294       1163         90         10
   12      42         71          5         16        299         90          3
   13      36         60          2         15        911         90          5
   14      40         64          2        108        298         90          7
   15      36         68         10        572        970         90          6
   16      42         64          1        850       1542         90          1
   17      43         65          2        665       1045         90          4
   18      41         73          2        850       1348         90          1
   19      42         68          3        572        780         90          6
   20      38         63          3         15        316         90          5
   21      41         64          9        200        651         90          8
   22      44         67          1        108        958         90          7
   23      40         74          1        572        903         90          6
   24      37         66          1        572        914         90          6
   25      47         66          2        850       1158         90          1
   26      31         64          1        294        924         90         10
   27      42         65          1         15        520         90          5
   28      44         67          4        665       1269         90          4
   29      38         64          1         16        426         90          3
   30      34         63          1         16        801         90          3
   31      43         63          1        850       1389         90          1
   32      32         64          2        108        876         90          7
   33      43         64          1         16        921         90          3
   34      45         67          1         15        494         90          5
   35      43         62          1        108        820         90          7
   36      44         70          3        665       1079         90          4
   37      46         76          3        758       1024         90          2
   38      46         69          8        758       1634         90          2
   39      40         70          1         16        440         90          3
