C108_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        830       1049         90   
    2      45         70         30        756        939         90   
    3      42         66         10         16        336         90   
    4      42         68         10        643        866         90   
    5      42         65         10         15        226         90   
    6      40         69         20        499        824         90   
    7      40         66         20         87        308         90   
    8      38         68         20        150        429         90   
    9      38         70         10        429        710         90   
   10      35         66         10        279        488         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         69          5        830       1364         90          1
    1      43         69         29        756       1974         90          2
    2      39         71          2         16        831         90          3
    3      46         69          5        643       1879         90          4
    4      40         61          2         15       1265         90          5
    5      37         68         12        499       1534         90          6
    6      39         64          5         87       1277         90          7
    7      35         67          4        150        562         90          8
    8      34         65          5        429       1344         90          9
    9      37         60          3        279       1157         90         10
   10      36         68          4         15       1027         90          5
   11      41         66          3        643       1779         90          4
   12      37         70          2        429        941         90          9
   13      46         62          6         16        359         90          3
   14      36         65         13        150       1336         90          8
   15      34         64         11         87        396         90          7
   16      38         64          1         87        749         90          7
   17      40         65          1         16        431         90          3
   18      39         61          3        150        881         90          8
   19      30         65          1        279       1325         90         10
   20      48         73          2        830       1337         90          1
   21      36         71          1        429        889         90          9
   22      41         62          1         87       1074         90          7
   23      39         67          3        279        754         90         10
   24      39         63          2        643       1067         90          4
   25      34         75          1        429        899         90          9
   26      45         69          2        830       1708         90          1
   27      32         70          3        279       1387         90         10
   28      44         64          1        499       1668         90          6
   29      40         67          1         87        879         90          7
   30      38         69          4        499       1258         90          6
   31      31         67          1         87        806         90          7
   32      38         66          1        429        853         90          9
   33      37         68          1        499       1002         90          6
   34      37         73          1        499       1572         90          6
   35      47         68          1        756       1920         90          2
   36      41         65          1         16        757         90          3
   37      46         64          1        830       1626         90          1
   38      43         72          1        499       1071         90          6
   39      44         64          4         15        881         90          5
