C109_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        760       1120         90   
    2      45         70         30        668       1028         90   
    3      42         66         10         16        376         90   
    4      42         68         10        575        935         90   
    5      42         65         10         15        375         90   
    6      40         69         20        482        842         90   
    7      40         66         20         18        378         90   
    8      38         68         20        110        470         90   
    9      38         70         10        390        750         90   
   10      35         66         10        204        564         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         65          3        760       2151         90          1
    1      45         70          6        668       1495         90          2
    2      42         70          9         16       1028         90          3
    3      42         65          2        575       2244         90          4
    4      44         62          8         15       1030         90          5
    5      43         70         15        482       2189         90          6
    6      45         66          5         18       1499         90          7
    7      40         68         14        110       1294         90          8
    8      37         68          8        390       1495         90          9
    9      34         71          2        204       1713         90         10
   10      36         66          2        110       1877         90          8
   11      43         68          2        575       1465         90          4
   12      42         64          2        575        974         90          4
   13      44         65          2        575       1750         90          4
   14      39         67          5        482        970         90          6
   15      39         69          1        575       1233         90          4
   16      47         66         13        668       1238         90          2
   17      47         64          6        668       2496         90          2
   18      35         65          6        204       1702         90         10
   19      40         68          1        110       1653         90          8
   20      42         62          1        575       1344         90          4
   21      43         63          1         15       1093         90          5
   22      40         68          1         16       1444         90          3
   23      46         70          2        668       2300         90          2
   24      29         67          1        204        942         90         10
   25      37         65          1         15        883         90          5
   26      41         64          6         18       1261         90          7
   27      46         72          4        760       2049         90          1
   28      42         72          1        760       1872         90          1
   29      45         65          1        760       1676         90          1
   30      41         66          3         18       1226         90          7
   31      45         66          2        668       1558         90          2
   32      43         65          1        110       1524         90          8
   33      37         68          2        110       1696         90          8
   34      42         68          1        668       2313         90          2
   35      38         63          6         18        409         90          7
   36      38         65          1        390       2060         90          9
   37      42         61          1        760       2231         90          1
   38      35         74          1        390        797         90          9
   39      39         62          1        204       1279         90         10
