R101_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0          35      35           0       0         230           0
    1          41      49          10     161         171          10
    2          35      17           7      50          60          10
    3          55      45          13     116         126          10
    4          55      20          19     149         159          10
    5          15      30          26      34          44          10
    6          25      30           3      99         109          10
    7          20      50           5      81          91          10
    8          10      43           9      95         105          10
    9          55      60          16      97         107          10
   10          30      60          16     124         134          10
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      40         47          6        161        213         10          1
    1      36         16          1         50         71         10          2
    2      47         41         12        116        172         10          3
    3      53         23         19        149        185         10          4
    4      15         32         17         34         90         10          5
    5      17         25          1         99        163         10          6
    6      20         48          1         81        132         10          7
    7       9         43          6         95        139         10          8
    8      55         58          8         97        143         10          9
    9      27         62         11        124        177         10         10
   10      50         61          3         97        166         10          9
   11      20         49          1         81        105         10          7
   12      10         40          1         95        133         10          8
   13      18         29          1         34         82         10          5
   14      37         17          1         50         82         10          2
   15      51         60          2         97        142         10          9
   16      58         66          1         97        154         10          9
   17      30         60          2        124        173         10         10
   18      53         57          1         97        164         10          9
   19      41         48          4        161        176         10          1
   20      30          9          1         50        142         10          2
   21      20         46          1         81        119         10          7
   22       5         49          1         95        156         10          8
   23      13         29          4         34         88         10          5
   24      30         62          1        124        180         10         10
   25      12         41          1         95        128         10          8
   26      33         16          1         50         95         10          2
   27      19         27          1         99        147         10          6
   28      18         47          1         81        118         10          7
   29      10         28          2         34        106         10          5
   30      17         31          2         34         83         10          5
   31      27         31          1         99        142         10          6
   32      37         14          1         50         82         10          2
   33      33         18          1         50        103         10          2
   34      55         60          1         97        136         10          9
   35      30         59          1        124        153         10         10
   36      55         47          1        116        157         10          3
   37      29         60          1        124        142         10         10
   38      32         13          1         50        116         10          2
   39      18         49          1         81        109         10          7
