R102_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
 
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      47         50          4          0        204         10          1
    1      33         23          5          0        202         10          2
    2      52         41          2          0        197         10          3
    3      54         22          1        149        186         10          4
    4      12         32          2          0        199         10          5
    5      27         30          1         99        128         10          6
    6      15         48          1          0        198         10          7
    7       4         41          8         95        158         10          8
    8      55         65         11         97        167         10          9
    9      34         56         10        124        193         10         10
   10      15         31          3          0        199         10          5
   11      35         48          2          0        204         10          1
   12      29         12          1          0        202         10          2
   13      15         27         12          0        199         10          5
   14      11         27          5          0        199         10          5
   15       7         47          1         95        144         10          8
   16      34         58          3        124        184         10         10
   17      16         27          2          0        199         10          5
   18      40         53          1          0        204         10          1
   19      41         45          1          0        204         10          1
   20      43         45          1          0        204         10          1
   21      25         33          1         99        136         10          6
   22      52         44          1          0        197         10          3
   23      26         31          1         99        141         10          6
   24      53         23         17        149        182         10          4
   25      55         61          2         97        140         10          9
   26      38         15          1          0        202         10          2
   27      56         44          3          0        197         10          3
   28      54         56          1         97        149         10          9
   29      17         30          1          0        199         10          5
   30      56         43          5          0        197         10          3
   31      55         59          1         97        120         10          9
   32      40         49          1          0        204         10          1
   33      27         57          3        124        194         10         10
   34      48         43          1          0        197         10          3
   35      58         62          1         97        164         10          9
   36      26         48          4          0        198         10          7
   37      16         30          1          0        199         10          5
   38      57         25          1        149        224         10          4
   39      55         47          1          0        197         10          3
