R103_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      46         53          5          0        204         10          1
    1      37         11          4          0        202         10          2
    2      58         46          9          0        197         10          3
    3      52         22          7        149        209         10          4
    4      12         27         11          0        199         10          5
    5      29         28          1         99        138         10          6
    6      23         52          1          0        198         10          7
    7      11         40          7         95        135         10          8
    8      50         60          9         97        162         10          9
    9      30         56          3        124        175         10         10
   10      51         41          3          0        197         10          3
   11      24         46          1          0        198         10          7
   12      10         40          1         95        159         10          8
   13      27         65          7        124        166         10         10
   14      31         16          1          0        202         10          2
   15      39         47          1          0        204         10          1
   16      17         46          1          0        198         10          7
   17      54         17          3        149        197         10          4
   18      25         38          1         99        177         10          6
   19      19         52          1          0        198         10          7
   20      37         17          1          0        202         10          2
   21      29         60          6        124        162         10         10
   22      53         15          2        149        201         10          4
   23      20         27          1         99        158         10          6
   24      14         28          4          0        199         10          5
   25      41         11          1          0        202         10          2
   26      40         43          1          0        204         10          1
   27      15         31         11          0        199         10          5
   28      55         61          2         97        122         10          9
   29      54         56          5         97        146         10          9
   30      16         48          1          0        198         10          7
   31      52         18          1        149        214         10          4
   32      53         19          2        149        205         10          4
   33      12         44          1         95        143         10          8
   34      54         19          1        149        192         10          4
   35      52         21          3        149        188         10          4
   36      42         42          1          0        204         10          1
   37      53         45          1          0        197         10          3
   38      48         50          1          0        204         10          1
   39      44         47          1          0        204         10          1
