R104_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16          0        194         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      40         46          7          0        204         10          1
    1      38         13          1          0        202         10          2
    2      57         47          3          0        197         10          3
    3      54         18         19        149        200         10          4
    4      11         28         19          0        199         10          5
    5      21         28          1          0        208         10          6
    6      18         48          2          0        198         10          7
    7      14         47          2         95        165         10          8
    8      52         61          5         97        152         10          9
    9      29         60          9          0        194         10         10
   10      32         22          1          0        202         10          2
   11      11         29          3          0        199         10          5
   12      34         22          1          0        202         10          2
   13      12         43          2         95        117         10          8
   14      55         43          3          0        197         10          3
   15      27         62          7          0        194         10         10
   16      56         45          3          0        197         10          3
   17       9         39          1         95        142         10          8
   18      10         44          2         95        138         10          8
   19      32         11          1          0        202         10          2
   20      32         22          1          0        202         10          2
   21      22         35          1          0        208         10          6
   22      34         15          1          0        202         10          2
   23      41         45          1          0        204         10          1
   24      49         62          1         97        147         10          9
   25      53         40          1          0        197         10          3
   26       8         43          1         95        129         10          8
   27      24         27          1          0        208         10          6
   28      39         14          1          0        202         10          2
   29      45         50          1          0        204         10          1
   30      58         42          1          0        197         10          3
   31      20         51          3          0        198         10          7
   32      53         61         10         97        144         10          9
   33       7         45          1         95        139         10          8
   34      44         55          1          0        204         10          1
   35      17         26          1          0        199         10          5
   36      12         32          2          0        199         10          5
   37      54         50          1          0        197         10          3
   38      14         31          1          0        199         10          5
   39      50         43          1          0        197         10          3
