R105_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        151        181         10   
    2      35         17          7         40         70         10   
    3      55         45         13        106        136         10   
    4      55         20         19        139        169         10   
    5      15         30         26         24         54         10   
    6      25         30          3         89        119         10   
    7      20         50          5         71        101         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         46          3        151        297         10          1
    1      31         19          1         40        125         10          2
    2      53         47          2        106        233         10          3
    3      51         23          4        139        246         10          4
    4      13         33         22         24        179         10          5
    5      27         29          1         89        161         10          6
    6      24         50          1         71        160         10          7
    7       9         49          2         85        153         10          8
    8      53         56         13         87        194         10          9
    9      30         56          7        114        276         10         10
   10      54         16          3        139        259         10          4
   11      31         20          3         40        197         10          2
   12      55         20          2        139        200         10          4
   13      56         61          1         87        195         10          9
   14      56         16          7        139        238         10          4
   15      25         28          2         89        133         10          6
   16      36         12          1         40        166         10          2
   17      21         45          1         71        136         10          7
   18      56         41          5        106        229         10          3
   19      35         18          1         40         81         10          2
   20      14         48          1         71        178         10          7
   21      57         58          2         87        177         10          9
   22      53         47          2        106        189         10          3
   23      14         25          2         24         86         10          5
   24      40         48          1        151        253         10          1
   25      42         48          2        151        221         10          1
   26      28         59          7        114        167         10         10
   27      34         20          1         40        175         10          2
   28      24         54          1         71        221         10          7
   29      40         51          1        151        279         10          1
   30      43         45          1        151        204         10          1
   31       6         43          7         85        204         10          8
   32      56         20          2        139        262         10          4
   33      52         41          4        106        273         10          3
   34      54         24          1        139        211         10          4
   35      44         49          1        151        291         10          1
   36      35         59          2        114        223         10         10
   37      15         51          1         71        219         10          7
   38      12         32          2         24         79         10          5
   39      40         45          1        151        281         10          1
