R107_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      38         49          4          0        204         10          1
    1      38         14          4          0        202         10          2
    2      51         45          6          0        197         10          3
    3      54         21          5        139        249         10          4
    4      16         35         19          0        199         10          5
    5      26         32          1         89        149         10          6
    6      18         53          3          0        198         10          7
    7      19         42          5         85        259         10          8
    8      57         59         12         87        159         10          9
    9      33         56         11        114        228         10         10
   10      54         18          1        139        187         10          4
   11      43         46          2          0        204         10          1
   12      22         29          1         89        208         10          6
   13      22         27          1         89        207         10          6
   14      55         43          5          0        197         10          3
   15      39         50          1          0        204         10          1
   16      50         20          8        139        275         10          4
   17      51         57          1         87        153         10          9
   18      28         14          2          0        202         10          2
   19      43         48          1          0        204         10          1
   20      46         46          1          0        204         10          1
   21      53         43          2          0        197         10          3
   22      10         42          2         85        137         10          8
   23      57         60          3         87        130         10          9
   24      32         59          1        114        206         10         10
   25      34         54          1        114        208         10         10
   26       8         44          1         85        205         10          8
   27      52         21          1        139        293         10          4
   28      32         56          1        114        217         10         10
   29      32         20          1          0        202         10          2
   30      17         45          1          0        198         10          7
   31      29         61          1        114        209         10         10
   32      39         51          1          0        204         10          1
   33      12         28          2          0        199         10          5
   34      17         35          3          0        199         10          5
   35      59         18          4        139        293         10          4
   36      28         59          1        114        183         10         10
   37      11         45          1         85        148         10          8
   38      16         30          2          0        199         10          5
   39      21         49          1          0        198         10          7
