R108_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16          0        194         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      36         47          8          0        204         10          1
    1      37         17          1          0        202         10          2
    2      54         41          7          0        197         10          3
    3      55         17          3        139        298         10          4
    4      19         23         20          0        199         10          5
    5      25         27          1          0        208         10          6
    6      13         51          2          0        198         10          7
    7      10         38          3         85        197         10          8
    8      60         62          8         87        146         10          9
    9      29         58         14          0        194         10         10
   10      52         49          3          0        197         10          3
   11      54         56          3         87        228         10          9
   12       6         46          5         85        158         10          8
   13      16         47          1          0        198         10          7
   14      25         36          1          0        208         10          6
   15      40         50          1          0        204         10          1
   16      14         29          2          0        199         10          5
   17      58         23         11        139        265         10          4
   18      52         43          1          0        197         10          3
   19      53         41          1          0        197         10          3
   20      39         49          1          0        204         10          1
   21      33         60          1          0        194         10         10
   22      21         29          1          0        208         10          6
   23      57         19          1        139        288         10          4
   24      18         51          1          0        198         10          7
   25      53         59          4         87        194         10          9
   26      55         40          1          0        197         10          3
   27      13         31          1          0        199         10          5
   28      24         60          1          0        194         10         10
   29      54         23          1        139        197         10          4
   30      13         42          1         85        200         10          8
   31      10         29          1          0        199         10          5
   32      53         60          1         87        168         10          9
   33      12         32          1          0        199         10          5
   34      58         18          1        139        279         10          4
   35      51         22          2        139        251         10          4
   36      36         22          5          0        202         10          2
   37      22         52          1          0        198         10          7
   38      12         31          1          0        199         10          5
   39      35         15          1          0        202         10          2
