R109_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        133        198         10   
    2      35         17          7         22         87         10   
    3      55         45         13         98        143         10   
    4      55         20         19        123        184         10   
    5      15         30         26         20         93         10   
    6      25         30          3         76        131         10   
    7      20         50          5         61        110         10   
    8      10         43          9         75        124         10   
    9      55         60         16         74        129         10   
   10      30         60         16        107        150         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      37         44          2        133        225         10          1
    1      37         18          2         22        180         10          2
    2      54         47          9         98        208         10          3
    3      59         19         16        123        307         10          4
    4      20         26          5         20        116         10          5
    5      23         27          1         76        266         10          6
    6      19         50          1         61        320         10          7
    7       9         41          1         75        258         10          8
    8      55         57          5         74        203         10          9
    9      27         59          1        107        204         10         10
   10      11         42          6         75        346         10          8
   11      54         19          1        123        228         10          4
   12      38         51          3        133        354         10          1
   13      63         63          3         74        240         10          9
   14      24         48          3         61        348         10          7
   15      38         14          1         22        152         10          2
   16      10         42          1         75        200         10          8
   17      11         48          1         75        300         10          8
   18      53         44          1         98        191         10          3
   19      37         51          2        133        362         10          1
   20      56         59          3         74        205         10          9
   21      54         56          1         74        271         10          9
   22      14         32          5         20        173         10          5
   23      21         48          1         61        183         10          7
   24      37         14          2         22        176         10          2
   25      10         36         11         20        201         10          5
   26      50         60          2         74        185         10          9
   27      20         24          2         20        300         10          5
   28      26         26          1         76        336         10          6
   29      53         46          3         98        380         10          3
   30      13         29          1         20        104         10          5
   31      46         49          1        133        381         10          1
   32      61         61          1         74        377         10          9
   33      42         47          2        133        267         10          1
   34      28         63         15        107        394         10         10
   35      14         31          2         20        191         10          5
   36      33         16          2         22        194         10          2
   37      51         16          2        123        305         10          4
   38      23         27          1         76        304         10          6
   39      59         59          1         74        236         10          9
