R110_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        130        201         10   
    2      35         17          7         20         89         10   
    3      55         45         13        106        135         10   
    4      55         20         19         71        195         10   
    5      15         30         26         20        107         10   
    6      25         30          3         54        153         10   
    7      20         50          5         66        105         10   
    8      10         43          9         61        138         10   
    9      55         60         16         53        150         10   
   10      30         60         16        101        156         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         49          4        130        211         10          1
    1      32         17          2         20        400         10          2
    2      55         45          9        106        219         10          3
    3      58         15         13         71        218         10          4
    4      17         29         15         20        228         10          5
    5      19         26          1         54        362         10          6
    6      17         45          1         66        290         10          7
    7       9         39          6         61        453         10          8
    8      53         60          4         53        216         10          9
    9      34         63         13        101        242         10         10
   10      57         19          1         71        269         10          4
   11      34         16          1         20        171         10          2
   12      20         47          1         66        376         10          7
   13      53         41          1        106        395         10          3
   14       9         43          1         61        205         10          8
   15      23         31          2         54        145         10          6
   16      60         18          2         71        194         10          4
   17      34         12          2         20        124         10          2
   18      52         42          1        106        283         10          3
   19      14         33          4         20        218         10          5
   20      36         52          3        130        383         10          1
   21      60         16          2         71        354         10          4
   22      27         60          1        101        253         10         10
   23      42         49          1        130        397         10          1
   24      35         53          1        130        450         10          1
   25      44         49          1        130        281         10          1
   26      19         52          1         66        283         10          7
   27      18         49          1         66        219         10          7
   28      18         32          3         20        122         10          5
   29      57         46          1        106        431         10          3
   30      53         21          1         71        215         10          4
   31      25         62          1        101        295         10         10
   32      59         44          1        106        245         10          3
   33      37         17          2         20        235         10          2
   34      32         62          1        101        233         10         10
   35      25         48          1         66        265         10          7
   36       5         50          2         61        447         10          8
   37      52         60         12         53        385         10          9
   38      10         30          2         20        379         10          5
   39      14         28          2         20        194         10          5
