R111_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         15        204         10   
    2      35         17          7         18        202         10   
    3      55         45         13         54        187         10   
    4      55         20         19        138        169         10   
    5      15         30         26         20        199         10   
    6      25         30          3         76        131         10   
    7      20         50          5         21        170         10   
    8      10         43          9         87        112         10   
    9      55         60         16         88        115         10   
   10      30         60         16        107        150         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         48          1         15        269         10          1
    1      34         22          3         18        302         10          2
    2      47         47          5         54        432         10          3
    3      52         15          6        138        603         10          4
    4      11         26         20         20        521         10          5
    5      28         30          1         76        348         10          6
    6      25         54          5         21        467         10          7
    7       7         45          3         87        246         10          8
    8      53         57          6         88        464         10          9
    9      23         59          4        107        544         10         10
   10       8         29          1         20        397         10          5
   11      50         43          7         54        551         10          3
   12       6         46          1         87        249         10          8
   13       9         45          2         87        463         10          8
   14      52         59          3         88        220         10          9
   15      24         31          1         76        374         10          6
   16      22         26          1         76        245         10          6
   17      13         44          1         87        443         10          8
   18      34         15          2         18        225         10          2
   19      38         51          5         15        519         10          1
   20      31         61          8        107        327         10         10
   21      41         54          2         15        168         10          1
   22      16         30          2         20        266         10          5
   23      31         59          1        107        228         10         10
   24      35         58          1        107        568         10         10
   25      20         25          1         20        230         10          5
   26      32         13          1         18        363         10          2
   27      52         54          1         88        231         10          9
   28      41         51          1         15        248         10          1
   29      16         25          1         20        147         10          5
   30      54         45          1         54        272         10          3
   31      43         46          1         15        504         10          1
   32      58         58          6         88        276         10          9
   33       8         42          2         87        481         10          8
   34      34         61          1        107        402         10         10
   35      56         18          2        138        386         10          4
   36      16         27          1         20        276         10          5
   37      33         16          1         18        352         10          2
   38      25         58          1        107        488         10         10
   39      55         19         11        138        319         10          4
