R112_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         73        204         10   
    2      35         17          7         18        147         10   
    3      55         45         13         76        165         10   
    4      55         20         19         73        195         10   
    5      15         30         26         20        167         10   
    6      25         30          3         49        158         10   
    7      20         50          5         36        135         10   
    8      10         43          9         50        149         10   
    9      55         60         16         47        156         10   
   10      30         60         16         85        172         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      40         46          1         73        572         10          1
    1      34         18          3         18        274         10          2
    2      59         41          2         76        357         10          3
    3      49         20         11         73        284         10          4
    4      16         25         16         20        489         10          5
    5      25         30          1         49        562         10          6
    6      25         48          1         36        573         10          7
    7       6         43          4         50        535         10          8
    8      52         66          2         47        336         10          9
    9      31         59          8         85        443         10         10
   10       7         37          3         50        287         10          8
   11      59         18          3         73        432         10          4
   12      14         32          1         20        187         10          5
   13      37         10          4         18        315         10          2
   14      54         21          1         73        629         10          4
   15      31         54          4         85        490         10         10
   16      40         53          1         73        517         10          1
   17      28         32          1         49        549         10          6
   18      17         51          1         36        577         10          7
   19      58         17          1         73        270         10          4
   20      13         25          1         20        603         10          5
   21      52         18          1         73        446         10          4
   22      18         49          1         36        463         10          7
   23      25         30          1         49        415         10          6
   24      50         20          1         73        340         10          4
   25      39         49          5         73        444         10          1
   26      10         28          1         20        298         10          5
   27      48         61         14         47        421         10          9
   28      39         47          1         73        476         10          1
   29      16         26          4         20        463         10          5
   30      38         49          1         73        598         10          1
   31      29         57          2         85        431         10         10
   32      14         30          3         20        314         10          5
   33      55         18          1         73        227         10          4
   34      19         50          1         36        472         10          7
   35      38         51          1         73        208         10          1
   36      23         48          1         36        275         10          7
   37      54         45         11         76        465         10          3
   38      33         58          2         85        260         10         10
   39      10         40          2         50        523         10          8
