RC101_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        145        175         10   
    2      22         75         30         50         80         10   
    3      22         85         10        109        139         10   
    4      20         80         40        141        171         10   
    5      20         85         20         41         71         10   
    6      18         75         20         95        125         10   
    7      15         75         20         79        109         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      25         81         12        145        249         10          1
    1      23         72          4         50        108         10          2
    2      27         87          1        109        254         10          3
    3      24         82          8        141        199         10          4
    4      20         85          1         41        165         10          5
    5      18         77         11         95        242         10          6
    6      18         73          7         79        156         10          7
    7      14         77          1         91        202         10          8
    8       9         36          2         91        131         10          9
    9      17         41         14        119        253         10         10
   10      19         74          3         95        150         10          6
   11      23         88          5        145        295         10          1
   12       4         41         16        119        208         10         10
   13      13         77          8         79        231         10          7
   14       7         30          4         91        254         10          9
   15      19         76          9         50        125         10          2
   16      21         78          2         95        257         10          6
   17      23         77          1         79        157         10          7
   18      25         88          3        145        215         10          1
   19      22         79         29        141        185         10          4
   20      15         79          1         95        261         10          6
   21      16         79          1        141        229         10          4
   22      17         70          1         95        158         10          6
   23      16         78          1         91        217         10          8
   24      10         78          5         91        153         10          8
   25      18         86         13         41        154         10          5
   26      20         82          1        109        230         10          3
   27      20         76          1         95        185         10          6
   28      17         74          3         91        207         10          8
   29      23         81          1        141        293         10          4
   30      16         80          1        141        246         10          4
   31      12         32          2         91        155         10          9
   32      12         38          4         91        238         10          9
   33      15         83          6         41        193         10          5
   34       7         31          8         91        230         10          9
   35      24         87          6        109        169         10          3
   36      24         81         17         50        118         10          2
   37      17         74          4         79        197         10          7
   38      21         74          1         95        254         10          6
   39      23         82          2        109        172         10          3
