RC102_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      22         83         14          0        191         10          1
    1      27         71          1          0        199         10          2
    2      19         84          7          0        190         10          3
    3      23         80         40        141        251         10          4
    4      19         85          8          0        189         10          5
    5      19         66          4         95        227         10          6
    6      19         74          2          0        194         10          7
    7      10         79          4         91        185         10          8
    8      10         35          9         91        157         10          9
    9      10         37          9        119        259         10         10
   10      24         73         13          0        199         10          2
   11      22         83          1          0        190         10          3
   12      27         83          1          0        191         10          1
   13       7         34         14        119        185         10         10
   14      15         77          7          0        194         10          7
   15      17         76          1         91        182         10          8
   16       7         39          7        119        179         10         10
   17      19         76          1         91        197         10          8
   18      13         76          3          0        194         10          7
   19      18         70         11         95        235         10          6
   20      21         88          2          0        190         10          3
   21      21         74         13          0        199         10          2
   22      18         77          1         91        232         10          8
   23      18         76          2         95        233         10          6
   24      26         75          1          0        199         10          2
   25      16         75          4          0        194         10          7
   26      18         78          2          0        194         10          7
   27      25         80          1         95        253         10          6
   28      11         77          1          0        194         10          7
   29      18         74          1          0        194         10          7
   30       9         31          9         91        215         10          9
   31      19         76          1         95        148         10          6
   32      21         72          1         95        218         10          6
   33      20         73          1          0        199         10          2
   34      22         87          5          0        191         10          1
   35      16         84          1         91        143         10          8
   36      15         85         12          0        189         10          5
   37      20         78          1          0        199         10          2
   38      17         83          2         91        239         10          8
   39      10         36          2         91        236         10          9
