RC103_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      19         81          4          0        191         10          1
    1      21         73          1          0        199         10          2
    2      20         88          3          0        190         10          3
    3      15         78         19        141        308         10          4
    4      18         89         11          0        189         10          5
    5      17         66         12         95        287         10          6
    6      15         74          6          0        194         10          7
    7      13         77          2         91        155         10          8
    8       6         36         14         91        238         10          9
    9       8         40          3        119        269         10         10
   10      26         86         10          0        191         10          1
   11      14         83          3          0        189         10          5
   12      22         81          1          0        191         10          1
   13       8         32          5         91        250         10          9
   14      23         84          2          0        191         10          1
   15      23         75         24          0        199         10          2
   16      25         73          1          0        191         10          1
   17       5         74         12          0        194         10          7
   18       4         38         13        119        237         10         10
   19      20         71          1          0        199         10          2
   20      22         83          6         91        239         10          8
   21      22         86          2          0        190         10          3
   22      20         86          2          0        189         10          5
   23      18         85          4          0        189         10          5
   24      14         77          1          0        194         10          7
   25      22         70          3         95        174         10          6
   26      24         90          1          0        191         10          1
   27       8         43          5        119        261         10         10
   28      19         80         16        141        287         10          4
   29      18         73          4          0        199         10          2
   30      22         85          5          0        190         10          3
   31      17         77          1         91        171         10          8
   32      28         82          1          0        191         10          1
   33      11         78          1          0        194         10          7
   34      16         79          1         91        195         10          8
   35      20         74          5         95        232         10          6
   36      20         75          4        141        281         10          4
   37      14         37          1         91        177         10          9
   38      22         76          1        141        197         10          4
   39      10         39          9        119        164         10         10
