RC105_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         71        191         10   
    2      22         75         30         30        150         10   
    3      22         85         10         64        184         10   
    4      20         80         40        151        161         10   
    5      20         85         20         40        160         10   
    6      18         75         20         96        123         10   
    7      15         75         20         35        155         10   
    8      15         80         10        101        111         10   
    9      10         35         20        101        111         10   
   10      10         40         30        123        144         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      20         83          7         71        317         10          1
    1      26         76          2         30        330         10          2
    2      21         86          5         64        364         10          3
    3      18         81          5        151        470         10          4
    4      20         83         15         40        330         10          5
    5      17         76         20         96        382         10          6
    6      13         78          6         35        137         10          7
    7      11         84          2        101        450         10          8
    8      12         38          1        101        390         10          9
    9      13         39          9        123        313         10         10
   10      11         76          1         35        313         10          7
   11      11         38         15        123        283         10         10
   12       5         33          6        101        402         10          9
   13       9         37          2        123        323         10         10
   14      15         77         13         35        205         10          7
   15      11         40          1        123        361         10         10
   16      26         85          2         40        246         10          5
   17      22         81          1         71        217         10          1
   18      19         75         28        151        325         10          4
   19       6         41          1        123        404         10         10
   20      17         85          1         40        367         10          5
   21      22         75         22         30        199         10          2
   22      25         85          2         64        278         10          3
   23      17         92          1         40        269         10          5
   24       7         36          1        101        332         10          9
   25      11         83          6        101        388         10          8
   26      19         77          1         30        137         10          2
   27      31         82          9         71        437         10          1
   28      24         70          2         30        235         10          2
   29      20         83          1         40        287         10          5
   30      27         73          1         30        388         10          2
   31      14         85          2        101        214         10          8
   32      14         37         12        101        251         10          9
   33      24         83          2         71        400         10          1
   34       7         39          1        123        341         10         10
   35      18         82          7        151        487         10          4
   36      24         81          3         64        381         10          3
   37      18         75          2         30        121         10          2
   38       8         39          1        123        247         10         10
   39      27         83          1         71        417         10          1
