RC106_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.  XCOORD.    YCOORD.     DEMAND  READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        130        190         10   
    2      22         75         30         35         95         10   
    3      22         85         10         94        154         10   
    4      20         80         40        126        186         10   
    5      20         85         20         40        100         10   
    6      18         75         20         80        140         10   
    7      15         75         20         64        124         10   
    8      15         80         10         76        136         10   
    9      10         35         20         76        136         10   
   10      10         40         30        104        164         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      27         87          5        130        292         10          1
    1      18         74         26         35        192         10          2
    2      21         83          2         94        358         10          3
    3      13         81         33        126        439         10          4
    4      17         83         13         40        234         10          5
    5      13         73          1         80        351         10          6
    6      11         74         16         64        298         10          7
    7      16         76          4         76        352         10          8
    8       6         37          2         76        251         10          9
    9       8         42         21        104        191         10         10
   10      20         71         15         80        199         10          6
   11      15         76          1         64        345         10          7
   12      20         91          2         40        311         10          5
   13      16         86          1         40        249         10          5
   14      20         91          1         40        290         10          5
   15      23         86         15        130        263         10          1
   16      22         89          6         94        259         10          3
   17      11         73          2         64        242         10          7
   18      17         81          1         40        196         10          5
   19      25         83          1         94        369         10          3
   20       9         39          5        104        319         10         10
   21      14         76          1         76        391         10          8
   22      21         79          1         35        157         10          2
   23      21         72          2         35        125         10          2
   24      25         76          1        126        311         10          4
   25      14         82          6        126        270         10          4
   26      23         73          2         80        192         10          6
   27      16         79          2         80        334         10          6
   28      14         38          9         76        161         10          9
   29      22         71          1         64        238         10          7
   30      13         78          3         76        301         10          8
   31      13         31          3         76        177         10          9
   32      24         73          1         35        132         10          2
   33      10         35          1         76        348         10          9
   34      20         77          1         94        243         10          3
   35       8         34          5         76        197         10          9
   36      12         78          2         76        227         10          8
   37       6         40          4        104        352         10         10
   38      19         79          1         40        196         10          5
   39      23         87          1         40        315         10          5
