RC107_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        125        191         10   
    2      22         75         30         32         97         10   
    3      22         85         10        101        146         10   
    4      20         80         40         71        193         10   
    5      20         85         20         40        113         10   
    6      18         75         20         55        164         10   
    7      15         75         20         69        118         10   
    8      15         80         10         56        155         10   
    9      10         35         20         51        160         10   
   10      10         40         30         90        177         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      25         82          7        125        400         10          1
    1      16         78         20         32        370         10          2
    2      20         85          2        101        245         10          3
    3      18         80         15         71        360         10          4
    4      22         85         15         40        229         10          5
    5      19         73         14         55        466         10          6
    6      20         73         11         69        339         10          7
    7      21         77          1         56        360         10          8
    8       9         39         20         51        202         10          9
    9       5         36         10         90        399         10         10
   10      19         74          1         32        218         10          2
   11      19         77         20         71        268         10          4
   12      23         81          7        125        418         10          1
   13      19         84          2        125        388         10          1
   14      24         85          4        101        410         10          3
   15      20         83          1         40        185         10          5
   16       8         80          4         56        405         10          8
   17      19         86          1         40        175         10          5
   18      11         35          7         90        464         10         10
   19      25         87          4        125        341         10          1
   20       7         44          5         90        334         10         10
   21      20         76          2         69        186         10          7
   22      21         79          2         71        353         10          4
   23      19         75          4         55        241         10          6
   24      18         75          1         56        435         10          8
   25      15         77          2         56        442         10          8
   26      13         79          2         69        375         10          7
   27      20         82          2         56        309         10          8
   28      12         44          3         90        509         10         10
   29      25         73          8         32        367         10          2
   30      22         78          4        101        279         10          3
   31      22         82          1         40        303         10          5
   32      19         80          1         55        248         10          6
   33      18         81          1         40        410         10          5
   34      15         78          3         71        182         10          4
   35      19         84          1         40        353         10          5
   36      18         73          1         55        342         10          6
   37      23         80          1         32        152         10          2
   38       9         40          5         90        204         10         10
   39      16         71          5         69        267         10          7
