RC108_10_40

10	40

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         49        191         10   
    2      22         75         30         30        168         10   
    3      22         85         10         95        152         10   
    4      20         80         40         69        193         10   
    5      20         85         20         40        189         10   
    6      18         75         20         60        159         10   
    7      15         75         20         54        133         10   
    8      15         80         10         67        144         10   
    9      10         35         20         57        154         10   
   10      10         40         30        106        161         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      29         91         14         49        198         10          1
    1      18         72         14         30        502         10          2
    2      26         85          5         95        319         10          3
    3      21         71         16         69        425         10          4
    4      15         87         16         40        274         10          5
    5      13         73          1         60        530         10          6
    6      15         74         12         54        260         10          7
    7       9         76          8         67        605         10          8
    8       5         40         13         57        244         10          9
    9       7         42          5        106        447         10         10
   10      21         76          3         60        390         10          6
   11      20         77          4         30        282         10          2
   12      22         73          7         30        162         10          2
   13       6         37          6        106        511         10         10
   14      16         84          4         95        277         10          3
   15      19         79          2         67        418         10          8
   16      13         70          5         54        437         10          7
   17      19         74          2         30        227         10          2
   18      14         39          5        106        434         10         10
   19      13         76          7         69        376         10          4
   20      12         38          1        106        515         10         10
   21      22         73          1         54        266         10          7
   22       5         36          4        106        331         10         10
   23      24         82          2         49        375         10          1
   24      15         73          1         30        532         10          2
   25      21         82          1         40        392         10          5
   26      18         86          3         40        523         10          5
   27      14         72          1         54        493         10          7
   28      17         85          1         95        275         10          3
   29      11         78          1         54        338         10          7
   30      19         74          2         30        527         10          2
   31      11         39          3        106        412         10         10
   32      16         76         11         60        296         10          6
   33       8         32          7         57        541         10          9
   34      21         79          4         49        248         10          1
   35      20         79          3         69        493         10          4
   36      20         80          9         69        507         10          4
   37      20         76          5         60        432         10          6
   38      22         79          5         69        517         10          4
   39      10         38          6        106        395         10         10
