C107_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        850       1030         90   
    2      45         70         30        758        938         90   
    3      42         66         10         16        196         90   
    4      42         68         10        665        845         90   
    5      42         65         10         15        195         90   
    6      40         69         20        572        752         90   
    7      40         66         20        108        288         90   
    8      38         68         20        200        380         90   
    9      38         70         10        480        660         90   
   10      35         66         10        294        474         90   
   11      35         69         10        387        567         90   
   12      25         85         20        597        777         90   
   13      22         75         30         30        210         90   
   14      22         85         10        504        684         90   
   15      20         80         40        317        497         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         63          5        850       1076         90          1
    1      38         69         22        758       1626         90          2
    2      39         69          5         16        483         90          3
    3      41         71          8        665       1183         90          4
    4      42         63          3         15        663         90          5
    5      37         67         12        572       1261         90          6
    6      39         64          3        108        943         90          7
    7      43         65          6        200       1079         90          8
    8      43         71          3        480        773         90          9
    9      33         65          2        294       1068         90         10
   10      35         66          1        387        667         90         11
   11      20         83          2        597        824         90         12
   12      18         77         17         30        926         90         13
   13      20         85          5        504       1262         90         14
   14      19         77         27        317       1115         90         15
   15      51         74          1        758       1536         90          2
   16      40         67          6        387        656         90         11
   17      39         67         12        108        675         90          7
   18      34         66          5        200        957         90          8
   19      40         65          5        572       1341         90          6
   20      48         69          1        758       1434         90          2
   21      44         70          3        758       1119         90          2
   22      23         84          9        597       1371         90         12
   23      15         72         13         30        675         90         13
   24      24         85          1        597       1162         90         12
   25      18         79          8        317        981         90         15
   26      42         71          1        758       1639         90          2
   27      47         70          1        850       1167         90          1
   28      39         67          3         15        905         90          5
   29      23         83          3        597        952         90         12
   30      28         82          3        597       1073         90         12
   31      39         68          5        200       1093         90          8
   32      39         70          1        572       1318         90          6
   33      39         68          3        294        829         90         10
   34      23         88          3        504       1393         90         14
   35      42         70          1        758       1663         90          2
   36      37         62          1        108        873         90          7
   37      41         68          5         16        311         90          3
   38      38         64          1        108        635         90          7
   39      43         74          1        758       1113         90          2
   40      23         82          1        597        828         90         12
   41      34         70          1        294        971         90         10
   42      25         80          1        597       1489         90         12
   43      26         87          1        504        915         90         14
   44      47         65          1        850       1720         90          1
   45      45         69          1        850       1228         90          1
   46      39         67          4        200        812         90          8
   47      35         68          3        387        854         90         11
   48      42         67          2        572       1408         90          6
   49      34         67          7        480        874         90          9
   50      18         78          3        317       1093         90         15
   51      48         69          1        850       1390         90          1
   52      25         84          1        504       1230         90         14
   53      36         65          4         15        554         90          5
   54      43         69          2        108        413         90          7
   55      38         67          1        108        535         90          7
   56      36         70          4        294       1204         90         10
   57      40         65          2        665       1550         90          4
   58      44         72          1        850       1716         90          1
   59      20         84          2        317       1099         90         15
