R104_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16          0        194         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20          0        187         10   
   15      30          5          8         61         71         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         50          8          0        204         10          1
    1      30         19          5          0        202         10          2
    2      54         49          6          0        197         10          3
    3      53         20          5        149        199         10          4
    4      14         32          1          0        199         10          5
    5      25         34          1          0        208         10          6
    6      14         48          1          0        198         10          7
    7      10         38          2         95        140         10          8
    8      54         64          2         97        145         10          9
    9      28         62         16          0        194         10         10
   10      19         63          3         67         96         10         11
   11      48         36          5          0        205         10         12
   12      30         21          3        159        222         10         13
   13      15          7         12          0        187         10         14
   14      24          7          4         61        104         10         15
   15      11         43          1         95        119         10          8
   16       3         43          3         95        145         10          8
   17      34         15          1          0        202         10          2
   18      30         30         13        159        200         10         13
   19      60         43          5          0        197         10          3
   20      24         28          1          0        208         10          6
   21      33         25          2        159        195         10         13
   22      32         23          1        159        221         10         13
   23      53         17         11        149        187         10          4
   24      31          2          4         61        114         10         15
   25      16         10          1          0        187         10         14
   26      28         32          1          0        208         10          6
   27      16          6          2          0        187         10         14
   28      16         43          2         95        145         10          8
   29       8         46          1         95        162         10          8
   30      15         64          3         67        122         10         11
   31      14         56          1          0        198         10          7
   32      14         32          2          0        199         10          5
   33      18         35          1          0        199         10          5
   34      57         56         10         97        166         10          9
   35      39         47          2          0        204         10          1
   36      35         12          1          0        202         10          2
   37      17          9          2          0        187         10         14
   38      28         22          2        159        192         10         13
   39      14         11          1          0        187         10         14
   40      55         17          1        149        184         10          4
   41      54         18          1        149        191         10          4
   42      52         60          1         97        135         10          9
   43      21         33         19          0        199         10          5
   44      28         24          1        159        203         10         13
   45      50         36          8          0        205         10         12
   46      59         42          2          0        197         10          3
   47       8          8          1          0        187         10         14
   48      17          7          1          0        187         10         14
   49      13         29          3          0        199         10          5
   50      55         18          1        149        179         10          4
   51      21         49          1          0        198         10          7
   52      15         67          6         67        127         10         11
   53      27         20          1        159        224         10         13
   54      55         67          2         97        157         10          9
   55      52         35          5          0        205         10         12
   56      23         50          1          0        198         10          7
   57      19         48          1          0        198         10          7
   58      52         60          1         97        149         10          9
   59      44         35          1          0        205         10         12
