R105_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        151        181         10   
    2      35         17          7         40         70         10   
    3      55         45         13        106        136         10   
    4      55         20         19        139        169         10   
    5      15         30         26         24         54         10   
    6      25         30          3         89        119         10   
    7      20         50          5         71        101         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19         53         83         10   
   13      30         25         23        149        179         10   
   14      15         10         20         32         62         10   
   15      30          5          8         51         81         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      37         50          5        151        273         10          1
    1      34         14          2         40        184         10          2
    2      55         48          7        106        246         10          3
    3      59         20         14        139        218         10          4
    4      19         29         14         24        147         10          5
    5      20         28          1         89        241         10          6
    6      19         49          1         71        200         10          7
    7       9         43          3         85        139         10          8
    8      57         54         14         87        255         10          9
    9      27         55          8        114        245         10         10
   10      18         71          9         57        209         10         11
   11      47         37          7         53        106         10         12
   12      31         24          6        149        252         10         13
   13      15         12          2         32        116         10         14
   14      27          2          3         51        148         10         15
   15      17         50          1         71        118         10          7
   16      25         30          1         89        158         10          6
   17      12          6         17         32        135         10         14
   18      14         11          1         32         98         10         14
   19      24         64          1         57        171         10         11
   20      18         48          1         71        154         10          7
   21      42         48          1        151        261         10          1
   22      19         67          1         57        182         10         11
   23      42         29          5         53        175         10         12
   24      40         49          3        151        244         10          1
   25      47         48          1        151        218         10          1
   26      10         29          1         24         88         10          5
   27      13         26          1         24        123         10          5
   28      29         57          3        114        204         10         10
   29      34         12          1         40        107         10          2
   30      26         58          2        114        269         10         10
   31      57         22          3        139        280         10          4
   32      12         30          6         24         69         10          5
   33      36         18          1         40        161         10          2
   34      17         49          1         71        142         10          7
   35      19         24          1         89        246         10          6
   36      29         57          1        114        228         10         10
   37      30          5          3         51        128         10         15
   38      12         44          6         85        183         10          8
   39      29          7          1         51        113         10         15
   40      13         30          1         24        117         10          5
   41       6         31          2         24        204         10          5
   42      34         18          1         40         79         10          2
   43      31          4          1         51        199         10         15
   44      15         38          1         24        112         10          5
   45      53         17          2        139        221         10          4
   46      48         36          1         53        105         10         12
   47      54         61          1         87        207         10          9
   48      58         55          1         87        219         10          9
   49      19         63          1         57        131         10         11
   50      19         49          1         71        110         10          7
   51      29         62          1        114        171         10         10
   52      56         41          6        106        182         10          3
   53      46         35          1         53        130         10         12
   54      32         13          1         40        102         10          2
   55      52         32          3         53        147         10         12
   56      50         35          2         53        118         10         12
   57      30         58          1        114        223         10         10
   58      38         18          1         40        152         10          2
   59      27         26         17        149        304         10         13
