R107_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20          0        187         10   
   15      30          5          8         51         81         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         52          6          0        204         10          1
    1      35         20          1          0        202         10          2
    2      58         45          2          0        197         10          3
    3      54         18          1        139        189         10          4
    4      14         28         16          0        199         10          5
    5      25         26          1         89        154         10          6
    6      17         52          2          0        198         10          7
    7       8         40          1         85        157         10          8
    8      57         62         13         87        172         10          9
    9      29         56         11        114        167         10         10
   10      22         67          5         57        151         10         11
   11      49         37         19          0        205         10         12
   12      33         26         12        149        207         10         13
   13      16         12          8          0        187         10         14
   14      25          0          3         51        164         10         15
   15      32         23          5        149        201         10         13
   16      32         16          1          0        202         10          2
   17      33         24          1        149        238         10         13
   18      33         47          1          0        204         10          1
   19      33         14          1          0        202         10          2
   20      42         12          1          0        202         10          2
   21      19         29         10          0        199         10          5
   22      28          6          1         51        186         10         15
   23      29          4          1         51        141         10         15
   24      15         41          3         85        231         10          8
   25       9         42          3         85        210         10          8
   26      20         60          3         57        157         10         11
   27      54         25          2        139        307         10          4
   28      33         15          1          0        202         10          2
   29      28          8          1         51        190         10         15
   30      42         53          1          0        204         10          1
   31      18         64          1         57        104         10         11
   32      35         18          1          0        202         10          2
   33      49         56          1         87        166         10          9
   34      41         45          1          0        204         10          1
   35      31         27          2        149        243         10         13
   36       7         35          1         85        270         10          8
   37      11          5          8          0        187         10         14
   38      27         24          1        149        248         10         13
   39      34         23          1        149        234         10         13
   40      24         26          1         89        242         10          6
   41      27         27          1        149        280         10         13
   42      13         43          1         85        225         10          8
   43      28         29          1         89        216         10          6
   44      59         63          1         87        220         10          9
   45      59         19         10        139        305         10          4
   46      37         48          1          0        204         10          1
   47      35         16          1          0        202         10          2
   48      23         50          3          0        198         10          7
   49      57         21          6        139        191         10          4
   50      14         60          2         57        132         10         11
   51      12         10          2          0        187         10         14
   52      53         62          1         87        195         10          9
   53      27         57          3        114        241         10         10
   54      30         53          2        114        268         10         10
   55      18         65          1         57        205         10         11
   56      16         13          2          0        187         10         14
   57      56         46          7          0        197         10          3
   58      28          7          2         51        193         10         15
   59      59         44          4          0        197         10          3
