R110_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        130        201         10   
    2      35         17          7         20         89         10   
    3      55         45         13        106        135         10   
    4      55         20         19         71        195         10   
    5      15         30         26         20        107         10   
    6      25         30          3         54        153         10   
    7      20         50          5         66        105         10   
    8      10         43          9         61        138         10   
    9      55         60         16         53        150         10   
   10      30         60         16        101        156         10   
   11      20         65         12         33        152         10   
   12      50         35         19         38         97         10   
   13      30         25         23         70        208         10   
   14      15         10         20         32        137         10   
   15      30          5          8         30        154         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      45         52          2        130        554         10          1
    1      32         18          2         20        285         10          2
    2      55         45          6        106        357         10          3
    3      55         21         19         71        178         10          4
    4      14         26         21         20        364         10          5
    5      23         27          1         54        488         10          6
    6      23         50          1         66        439         10          7
    7       6         45          1         61        350         10          8
    8      60         58          2         53        200         10          9
    9      32         61          9        101        205         10         10
   10      18         66          7         33        298         10         11
   11      49         34          3         38        200         10         12
   12      26         21         18         70        301         10         13
   13       9          6         15         32        470         10         14
   14      29          6          3         30        221         10         15
   15      11         41          5         61        202         10          8
   16      31         22          2         70        185         10         13
   17      61         66          8         53        411         10          9
   18      19         47          1         66        264         10          7
   19      26         26          3         70        216         10         13
   20      32         10          2         30        307         10         15
   21      41         51          4        130        506         10          1
   22      60         59          1         53        476         10          9
   23      47         34          1         38        401         10         12
   24      16         45          1         66        345         10          7
   25      54         66          1         53        200         10          9
   26      22         68          1         33        259         10         11
   27      13         36          1         61        337         10          8
   28      29         62          1        101        219         10         10
   29      31         60          1        101        259         10         10
   30      19         13          3         32        462         10         14
   31      16          6          1         32        257         10         14
   32      29          8          1         30        218         10         15
   33      55         46          4        106        361         10          3
   34      53         64          2         53        396         10          9
   35      49         38         11         38        288         10         12
   36      42         47          2        130        332         10          1
   37      30          4          1         30        170         10         15
   38      39         52          2        130        478         10          1
   39      46         33          2         38        396         10         12
   40      59         43          3        106        391         10          3
   41      31         18          2         20        269         10          2
   42      23         45          1         66        245         10          7
   43      49         34          1         38        276         10         12
   44      21         32          1         54        317         10          6
   45      16         66          4         33        267         10         11
   46      54         58          1         53        228         10          9
   47      34         14          1         20        224         10          2
   48      27         27          1         54        489         10          6
   49      48         60          1         53        265         10          9
   50      36         63          3        101        486         10         10
   51      33         12          2         20        371         10          2
   52      14         43          1         61        326         10          8
   53      28         52          2        101        521         10         10
   54      50         41          1         38        179         10         12
   55      21         53          1         66        444         10          7
   56      13         13          1         32        209         10         14
   57      11         46          1         61        269         10          8
   58      11         31          5         20        205         10          5
   59      30         -3          1         30        473         10         15
