R111_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         15        204         10   
    2      35         17          7         18        202         10   
    3      55         45         13         54        187         10   
    4      55         20         19        138        169         10   
    5      15         30         26         20        199         10   
    6      25         30          3         76        131         10   
    7      20         50          5         21        170         10   
    8      10         43          9         87        112         10   
    9      55         60         16         88        115         10   
   10      30         60         16        107        150         10   
   11      20         65         12         57         86         10   
   12      50         35         19         15        192         10   
   13      30         25         23        147        180         10   
   14      15         10         20         32        187         10   
   15      30          5          8         50         81         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         51          2         15        508         10          1
    1      35         19          2         18        155         10          2
    2      54         47         11         54        333         10          3
    3      49         20         14        138        509         10          4
    4      15         33          4         20        411         10          5
    5      28         30          1         76        322         10          6
    6      22         48          2         21        326         10          7
    7      13         40          4         87        218         10          8
    8      52         51         11         88        242         10          9
    9      33         58         10        107        567         10         10
   10      16         64          7         57        304         10         11
   11      53         32          9         15        282         10         12
   12      29         22          8        147        312         10         13
   13      19         11          2         32        380         10         14
   14      33          4          3         50        385         10         15
   15      45         31          4         15        385         10         12
   16      23         65          1         57        331         10         11
   17      37         14          3         18        216         10          2
   18       9         42          1         87        436         10          8
   19      58         44          1         54        415         10          3
   20      18         66          2         57        476         10         11
   21      33         26          7        147        609         10         13
   22      58         60          1         88        368         10          9
   23      15         29          2         20        440         10          5
   24      31         58          1        107        271         10         10
   25      15         12         16         32        350         10         14
   26      55         59          4         88        513         10          9
   27      14          3          2         32        454         10         14
   28      42         50          6         15        501         10          1
   29       7         37          1         87        416         10          8
   30      50         35          1         15        488         10         12
   31      50         40          3         15        486         10         12
   32      45         34          1         15        300         10         12
   33      17         52          1         21        484         10          7
   34      17         66          1         57        218         10         11
   35      13         45          1         87        479         10          8
   36       6         41          1         87        537         10          8
   37      27         -1          1         50        504         10         15
   38      30          6          1         50        155         10         15
   39      12         40          1         87        490         10          8
   40      49         32          1         15        401         10         12
   41      33          6          1         50        477         10         15
   42      17         46          1         21        262         10          7
   43      43         50          1         15        280         10          1
   44      29          6          1         50        160         10         15
   45      41         53          1         15        343         10          1
   46      28         58          2        107        569         10         10
   47      30         24          3        147        603         10         13
   48      21         28          2         76        487         10          6
   49      32         16          2         18        192         10          2
   50      23         54          1         21        210         10          7
   51      52         41          1         54        257         10          3
   52      17         31          9         20        297         10          5
   53      57         25          5        138        641         10          4
   54      31         24          5        147        388         10         13
   55      23         68          1         57        255         10         11
   56      29          4          1         50        456         10         15
   57      32         60          1        107        285         10         10
   58      15         27         11         20        468         10          5
   59      25         60          2        107        317         10         10
