RC102_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10         35         65         10   
   15       2         40         20         58         88         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      29         87          6          0        191         10          1
    1      21         71         24          0        199         10          2
    2      16         83          2          0        190         10          3
    3      16         76         19        141        231         10          4
    4      19         88          4          0        189         10          5
    5      15         78         11         95        160         10          6
    6      16         75         17          0        194         10          7
    7      16         87          1         91        194         10          8
    8      12         34          6         91        156         10          9
    9       6         43         11        119        253         10         10
   10       3         38         27         59        178         10         11
   11      11         44         10          0        197         10         12
   12       8         32          4        142        228         10         13
   13       9         47          4         35        132         10         14
   14       2         40          5         58        164         10         15
   15      22         81          1          0        199         10          2
   16      21         72          3          0        194         10          7
   17       4         39          1        142        252         10         13
   18      23         78          6        141        306         10          4
   19      17         85          9          0        189         10          5
   20      24         88          4          0        191         10          1
   21      19         79         12        141        267         10          4
   22       0         48          2         35        173         10         14
   23      22         70          1          0        199         10          2
   24      28         88          6          0        191         10          1
   25       6         30          1        142        247         10         13
   26      26         88          1          0        191         10          1
   27      20         74          1          0        199         10          2
   28      21         78          9         95        214         10          6
   29       9         44          6          0        197         10         12
   30      29         82          4          0        190         10          3
   31       9         38          6         58        140         10         15
   32       7         50          2          0        197         10         12
   33       9         42         18        119        197         10         10
   34      28         90          1          0        191         10          1
   35      18         86          7          0        189         10          5
   36      19         77          2        141        283         10          4
   37      10         41          1          0        197         10         12
   38      22         86          1          0        190         10          3
   39      22         77          1          0        190         10          3
   40      -1         42          5         58        222         10         15
   41      16         76          9         91        257         10          8
   42      15         35          1        119        253         10         10
   43       8         43          3         35        149         10         14
   44      21         85          1          0        190         10          3
   45      25         84          1          0        190         10          3
   46       5         50          1         35        175         10         14
   47       3         42          4         58        133         10         15
   48       4         36          1        142        243         10         13
   49      13         33         14         91        156         10          9
   50      20         77          1          0        199         10          2
   51       8         31          1        142        229         10         13
   52       8         38         13         59        166         10         11
   53      18         75          1        141        249         10          4
   54       9         33          1        142        301         10         13
   55       9         49          1          0        197         10         12
   56      25         85          2          0        191         10          1
   57      26         72          1          0        199         10          2
   58       5         34          1        142        227         10         13
   59      22         73          1          0        199         10          2
