RC103_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20         95        125         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      28         83         16          0        191         10          1
    1      22         77         15          0        199         10          2
    2      23         87          1          0        190         10          3
    3      20         80         18        141        272         10          4
    4      22         82         16          0        189         10          5
    5      15         73         17         95        154         10          6
    6      19         72          2          0        194         10          7
    7      17         82          1         91        178         10          8
    8       5         34          8         91        155         10          9
    9       6         39         15        119        269         10         10
   10       8         40         30         59        107         10         11
   11       5         45         10          0        197         10         12
   12       3         36          4        142        301         10         13
   13       7         43          6          0        194         10         14
   14       0         37          1         58        188         10         15
   15      18         84          1          0        191         10          1
   16      18         69          1         95        160         10          6
   17       7         42          3          0        197         10         12
   18       7         42          4        119        239         10         10
   19      10         38          6         59        120         10         11
   20      18         83          1          0        189         10          5
   21      22         86          4          0        190         10          3
   22       0         37          1        142        309         10         13
   23       4         45          2          0        194         10         14
   24       4         40          1          0        194         10         14
   25      14         72          1         95        165         10          6
   26      18         86          1          0        190         10          3
   27      21         77         10          0        199         10          2
   28      27         82          2          0        190         10          3
   29      15         80          1         91        238         10          8
   30      12         43          7        119        211         10         10
   31       9         35          4        142        207         10         13
   32      21         75          1          0        199         10          2
   33       4         31          1        142        243         10         13
   34      16         75          1         95        242         10          6
   35      23         71          1          0        199         10          2
   36      15         74          4         91        233         10          8
   37      24         88          1          0        190         10          3
   38      12         30         12         91        203         10          9
   39      22         76          3        141        225         10          4
   40      24         88          1          0        191         10          1
   41       3         40          4         59        179         10         11
   42      24         82          1          0        190         10          3
   43      17         78         19        141        201         10          4
   44      30         82          1          0        191         10          1
   45       8         36          1        119        207         10         10
   46       7         45          4          0        197         10         12
   47      14         73         14          0        194         10          7
   48      21         75          1          0        199         10          2
   49      19         83          1          0        189         10          5
   50       0         41         18         58        167         10         15
   51      23         87          2          0        189         10          5
   52       6         43          3        119        291         10         10
   53       9         43          3          0        197         10         12
   54      23         90          1          0        191         10          1
   55      -2         37          1         58        177         10         15
   56      17         81          4         91        136         10          8
   57      18         75          4          0        194         10          7
   58       7         45          1          0        194         10         14
   59      23         75          2          0        199         10          2
