RC104_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20          0        191         10   
    2      22         75         30          0        199         10   
    3      22         85         10          0        190         10   
    4      20         80         40        141        171         10   
    5      20         85         20          0        189         10   
    6      18         75         20          0        196         10   
    7      15         75         20          0        194         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30          0        198         10   
   11       8         40         40         59         89         10   
   12       8         45         20          0        197         10   
   13       5         35         10        142        172         10   
   14       5         45         10          0        194         10   
   15       2         40         20         58         88         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      26         84          4          0        191         10          1
    1      25         71         18          0        199         10          2
    2      18         90          1          0        190         10          3
    3      17         82          1        141        195         10          4
    4      19         82         14          0        189         10          5
    5      20         79          6          0        196         10          6
    6      18         77         12          0        194         10          7
    7      12         73          7         91        277         10          8
    8      16         36          8         91        263         10          9
    9      11         36         16          0        198         10         10
   10       9         39         22         59        205         10         11
   11       7         45         13          0        197         10         12
   12       4         37          1        142        261         10         13
   13       2         50          6          0        194         10         14
   14       7         38         15         58        117         10         15
   15      25         83          4          0        190         10          3
   16       1         49          1          0        194         10         14
   17       4         38          1        142        262         10         13
   18       5         45          1          0        194         10         14
   19       6         39          8         91        266         10          9
   20       8         36          2         59        202         10         11
   21      15         74          6          0        194         10          7
   22       2         40          2         58        126         10         15
   23      19         87          4          0        189         10          5
   24      18         86          3          0        190         10          3
   25      16         84          1         91        145         10          8
   26      17         71         12          0        196         10          6
   27      15         72          2          0        196         10          6
   28      13         41          1         91        215         10          9
   29      21         87          1          0        189         10          5
   30       9         37          2          0        198         10         10
   31       6         37          1          0        198         10         10
   32       1         47          1         58        189         10         15
   33      17         30          1         91        244         10          9
   34       5         43          4          0        197         10         12
   35       7         42         10         59        181         10         11
   36      22         74          9          0        199         10          2
   37       4         41          1         58        164         10         15
   38       8         46          2          0        194         10         14
   39      18         84         15        141        301         10          4
   40      30         87          1          0        191         10          1
   41      18         85          2          0        190         10          3
   42       8         31          2         91        182         10          9
   43      24         81          8          0        191         10          1
   44       9         40          2          0        197         10         12
   45      27         81          5          0        191         10          1
   46      24         86          1          0        191         10          1
   47      17         77          3          0        199         10          2
   48       4         37          1         58        180         10         15
   49       5         34          8        142        240         10         13
   50       8         38          3         59        110         10         11
   51      15         81         20        141        248         10          4
   52       6         44          1          0        197         10         12
   53      23         80          4        141        242         10          4
   54      21         82          2         91        243         10          8
   55      14         40         11          0        198         10         10
   56      21         88          1          0        189         10          5
   57      14         69          2          0        194         10          7
   58      21         84          1          0        191         10          1
   59       5         43          3         59        147         10         11
