RC105_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         71        191         10   
    2      22         75         30         30        150         10   
    3      22         85         10         64        184         10   
    4      20         80         40        151        161         10   
    5      20         85         20         40        160         10   
    6      18         75         20         96        123         10   
    7      15         75         20         35        155         10   
    8      15         80         10        101        111         10   
    9      10         35         20        101        111         10   
   10      10         40         30        123        144         10   
   11       8         40         40         69         79         10   
   12       8         45         20         32        152         10   
   13       5         35         10        152        162         10   
   14       5         45         10         35        117         10   
   15       2         40         20         68         78         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      24         82         11         71        359         10          1
    1      23         75         20         30        158         10          2
    2      23         87          6         64        325         10          3
    3      23         77         25        151        474         10          4
    4      21         79         20         40        299         10          5
    5      21         71         10         96        241         10          6
    6      17         67          9         35        261         10          7
    7      14         83          6        101        348         10          8
    8      10         36         14        101        201         10          9
    9       9         40          1        123        376         10         10
   10       6         36          7         69        313         10         11
   11       8         42         14         32        262         10         12
   12       1         34          2        152        232         10         13
   13       4         46          4         35        292         10         14
   14       5         42         18         68        197         10         15
   15       8         43          1         32        296         10         12
   16      24         81         10        151        268         10          4
   17       9         43          1         32        338         10         12
   18      23         71          3         30        304         10          2
   19      10         42         27        123        202         10         10
   20      11         72          8         35        176         10          7
   21       2         38         13         69        374         10         11
   22      15         70          5         96        235         10          6
   23      11         32          1        101        356         10          9
   24      12         82          2        101        342         10          8
   25      21         77          2        151        457         10          4
   26      15         75          1        101        421         10          8
   27       4         46          1         32        145         10         12
   28       6         45          1         32        228         10         12
   29      13         38          1        101        401         10          9
   30      17         76          2         96        193         10          6
   31      10         43         11         69        321         10         11
   32       8         39          9         69        214         10         11
   33      19         84          2         71        381         10          1
   34      24         91          1         64        156         10          3
   35      20         76          3         30        321         10          2
   36      20         83          1         64        198         10          3
   37      17         74          1         96        246         10          6
   38      14         79          1        101        297         10          8
   39      11         46          1         32        170         10         12
   40      17         76          1         96        288         10          6
   41       7         47          1         35        143         10         14
   42      17         81          1         64        380         10          3
   43      28         88          1         71        316         10          1
   44      23         85          2         71        378         10          1
   45       9         38          4        101        381         10          9
   46      21         76          4         30        265         10          2
   47      10         45          1         32        258         10         12
   48       5         37          8        152        392         10         13
   49       1         45          3         35        352         10         14
   50      17         76          3         35        237         10          7
   51       3         41          2         68        173         10         15
   52      20         79          1        151        242         10          4
   53      23         88          1         71        360         10          1
   54      21         82          2        151        396         10          4
   55      27         84          3         71        355         10          1
   56       3         44          2         35        300         10         14
   57       9         35          2        123        437         10         10
   58      19         86          1         64        217         10          3
   59      18         78          1         96        206         10          6
