RC106_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.  XCOORD.    YCOORD.     DEMAND  READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        130        190         10   
    2      22         75         30         35         95         10   
    3      22         85         10         94        154         10   
    4      20         80         40        126        186         10   
    5      20         85         20         40        100         10   
    6      18         75         20         80        140         10   
    7      15         75         20         64        124         10   
    8      15         80         10         76        136         10   
    9      10         35         20         76        136         10   
   10      10         40         30        104        164         10   
   11       8         40         40         44        104         10   
   12       8         45         20         49        109         10   
   13       5         35         10        127        187         10   
   14       5         45         10         35         95         10   
   15       2         40         20         43        103         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      29         85          2        130        434         10          1
    1      24         71          9         35        213         10          2
    2      20         84          1         94        289         10          3
    3      22         77          5        126        387         10          4
    4      21         91         13         40        246         10          5
    5      19         75         10         80        260         10          6
    6      10         74         16         64        289         10          7
    7      20         77          3         76        253         10          8
    8      11         29          5         76        310         10          9
    9      11         37         14        104        204         10         10
   10      11         40         25         44        197         10         11
   11       9         45         10         49        301         10         12
   12       0         35          7        127        255         10         13
   13       5         43          4         35        203         10         14
   14       3         43         12         43        290         10         15
   15      18         78         11        126        424         10          4
   16       5         45          2         35        100         10         14
   17      22         73          7         35        307         10          2
   18       5         33          4        104        283         10         10
   19      18         71          2         80        222         10          6
   20      26         90         11        130        310         10          1
   21      16         74          1         64        134         10          7
   22       8         33          6         44        220         10         11
   23       7         36          4         76        342         10          9
   24      23         70          5         35        163         10          2
   25      25         88          9         94        268         10          3
   26       9         39          8         76        300         10          9
   27      14         79          3         40        227         10          5
   28       5         52          1         35        178         10         14
   29       4         42          7        104        308         10         10
   30      10         43          2        104        275         10         10
   31      -2         37          8         43        266         10         15
   32       6         38          1         76        213         10          9
   33       8         35          3         44        198         10         11
   34      11         71          3         64        168         10          7
   35       5         41          2         44        235         10         11
   36      16         77         24        126        392         10          4
   37      26         74          2         35        229         10          2
   38      14         84          4         76        316         10          8
   39      22         82          4        130        270         10          1
   40       2         39          1         44        248         10         11
   41      22         85          1        130        297         10          1
   42      17         50         10         49        394         10         12
   43       4         41          1         44        232         10         11
   44      18         73          2         80        214         10          6
   45       3         45          1         35        310         10         14
   46       7         34          2        127        249         10         13
   47       5         36          2         44        252         10         11
   48      11         82          3         76        393         10          8
   49       5         42          3        104        274         10         10
   50      21         72          5         35        325         10          2
   51      17         75          3         80        274         10          6
   52      19         68          2         35        212         10          2
   53      12         35          2         76        371         10          9
   54       8         49          1         35        312         10         14
   55      19         69          3         80        309         10          6
   56      20         84          4         40        337         10          5
   57      24         91          2        130        280         10          1
   58       4         48          1         35        225         10         14
   59       6         36          1        127        360         10         13
