RC108_15_60

15	60

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20         49        191         10   
    2      22         75         30         30        168         10   
    3      22         85         10         95        152         10   
    4      20         80         40         69        193         10   
    5      20         85         20         40        189         10   
    6      18         75         20         60        159         10   
    7      15         75         20         54        133         10   
    8      15         80         10         67        144         10   
    9      10         35         20         57        154         10   
   10      10         40         30        106        161         10   
   11       8         40         40         33        152         10   
   12       8         45         20         32        148         10   
   13       5         35         10         53        191         10   
   14       5         45         10         35        194         10   
   15       2         40         20         39        163         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      27         86         10         49        228         10          1
    1      24         72         20         30        475         10          2
    2      20         84          6         95        315         10          3
    3      21         74          2         69        567         10          4
    4      20         84          8         40        163         10          5
    5      17         74         17         60        208         10          6
    6      12         75         15         54        390         10          7
    7      13         78          3         67        398         10          8
    8       4         30         20         57        476         10          9
    9      12         46         17        106        673         10         10
   10       1         39         19         33        496         10         11
   11       5         50         12         32        218         10         12
   12       8         30          2         53        401         10         13
   13       8         46          6         35        346         10         14
   14       0         42          1         39        410         10         15
   15       4         39         11         39        355         10         15
   16      14         73          1         54        207         10          7
   17      13         80         12         69        435         10          4
   18      13         40          6        106        297         10         10
   19      18         78          1         54        558         10          7
   20      25         81          4         69        323         10          4
   21       1         45          3         32        359         10         12
   22       1         33          3         53        350         10         13
   23      21         83          4         40        390         10          5
   24       5         40          7         33        467         10         11
   25      17         77          3         60        438         10          6
   26      26         83          2         95        611         10          3
   27       2         33          1         53        584         10         13
   28      17         83         19         69        325         10          4
   29       2         35          1         53        406         10         13
   30       7         41          6        106        631         10         10
   31       7         41          5         33        392         10         11
   32       7         45          2         35        205         10         14
   33      -1         35          2         39        303         10         15
   34      20         89          3         49        395         10          1
   35      23         84          2         95        334         10          3
   36       7         33          1         53        290         10         13
   37      17         84          2         67        600         10          8
   38       8         45          4         32        479         10         12
   39      20         80          5         49        548         10          1
   40       3         43          1         35        435         10         14
   41       1         41          6         39        316         10         15
   42      25         71          6         30        329         10          2
   43      13         80          2         67        474         10          8
   44       7         44          1         32        314         10         12
   45      21         83          1         49        435         10          1
   46      15         72          1         54        382         10          7
   47      21         78          1         49        546         10          1
   48       6         41          1         53        461         10         13
   49       2         42          1         35        558         10         14
   50      11         76          1         54        506         10          7
   51      16         74          1         54        184         10          7
   52      22         74          4         30        260         10          2
   53      17         81          3         69        488         10          4
   54       2         39          1         53        542         10         13
   55      13         76          1         67        301         10          8
   56      10         41          1        106        267         10         10
   57      15         43          9         33        558         10         11
   58      18         85          8         40        440         10          5
   59      14         82          2         67        237         10          8
