C105_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        885        994         90   
    2      45         70         30        802        893         90   
    3      42         66         10         25        186         90   
    4      42         68         10        699        810         90   
    5      42         65         10         15        120         90   
    6      40         69         20        580        743         90   
    7      40         66         20        142        253         90   
    8      38         68         20        220        359         90   
    9      38         70         10        499        640         90   
   10      35         66         10        331        436         90   
   11      35         69         10        420        533         90   
   12      25         85         20        617        756         90   
   13      22         75         30         30        155         90   
   14      22         85         10        541        646         90   
   15      20         80         40        362        451         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         66          7        885       1365         90          1
    1      49         68         21        802       1130         90          2
    2      38         68          1         25        410         90          3
    3      44         69          3        699       1147         90          4
    4      42         64          3         15        322         90          5
    5      37         74         13        580       1150         90          6
    6      37         67         14        142        474         90          7
    7      35         67          1        220        591         90          8
    8      45         71          3        499        872         90          9
    9      36         68          6        331        940         90         10
   10      36         69          2        420        601         90         11
   11      27         87          5        617        952         90         12
   12      22         74         21         30        450         90         13
   13      28         88          4        541       1069         90         14
   14      22         76         21        362        595         90         15
   15      23         76          6        617        883         90         12
   16      44         70          4        802       1221         90          2
   17      43         67          1        802        981         90          2
   18      39         67          1        142        502         90          7
   19      31         69          3        420        699         90         11
   20      34         71          2        420       1004         90         11
   21      23         84          3        617       1005         90         12
   22      37         70          4        220        793         90          8
   23      39         63          2        499        747         90          9
   24      37         69          2        699       1234         90          4
   25      41         65          2        885       1424         90          1
   26      40         68          1        802        975         90          2
   27      46         68          1        885       1197         90          1
   28      42         67          1        802       1049         90          2
   29      18         83          6        362        715         90         15
   30      24         80          5        362        798         90         15
   31      21         82          1        362        623         90         15
   32      21         78          5         30        232         90         13
   33      30         67          1        420        899         90         11
   34      26         87          1        541        764         90         14
   35      34         66          3        220        381         90          8
   36      33         68          1        699        986         90          4
   37      35         61          1        331        845         90         10
   38      41         62          1        142        548         90          7
   39      40         66          4        220        562         90          8
   40      21         80          1        541       1005         90         14
   41      42         64          1        580        986         90          6
   42      46         66          1        802       1030         90          2
   43      36         72          1        499       1072         90          9
   44      18         79          2        362        603         90         15
   45      46         73          1        802       1412         90          2
   46      38         64          1        331        492         90         10
   47      42         67          1        699        824         90          4
   48      41         72          6        580       1011         90          6
   49      38         67          1         15        318         90          5
   50      14         89          1        541        899         90         14
   51      40         61          2        220        402         90          8
   52      31         65          1        331        502         90         10
   53      40         63          1         15        425         90          5
   54      18         78          1        541       1169         90         14
   55      43         68          5         25        371         90          3
   56      29         66          1        420        985         90         11
   57      44         66          1        142        672         90          7
   58      39         72          1        499       1021         90          9
   59      43         71          1        142        632         90          7
   60      25         80          1        617        775         90         12
   61      33         63          2        220        436         90          8
   62      20         79          4        362        495         90         15
   63      20         82          2        617       1009         90         12
   64      31         64          1        331        915         90         10
   65      22         84          2        617       1042         90         12
   66      39         68          1        142        333         90          7
   67      40         64          1         25        295         90          3
   68      37         71          1        499        926         90          9
   69      25         82          1        541        849         90         14
   70      26         83          1        617        818         90         12
   71      20         87          1        541        966         90         14
   72      25         68          1        420        738         90         11
   73      17         72          2         30        394         90         13
   74      47         71          1        699       1277         90          4
   75      35         69          1        499       1050         90          9
   76      40         65          1        499        812         90          9
   77      40         65          1        699       1002         90          4
   78      41         62          1        142        284         90          7
   79      41         63          4        220        784         90          8
   80      17         79          1        362        811         90         15
   81      38         69          1        699        956         90          4
   82      41         61          3         25        293         90          3
   83      39         68          5         15        379         90          5
   84      25         70          2         30        623         90         13
