C106_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        890        989         90   
    2      45         70         30        816        879         90   
    3      42         66         10         55        156         90   
    4      42         68         10        703        806         90   
    5      42         65         10         15         60         90   
    6      40         69         20        559        764         90   
    7      40         66         20        172        223         90   
    8      38         68         20        250        329         90   
    9      38         70         10        489        650         90   
   10      35         66         10        361        406         90   
   11      35         69         10        450        503         90
   12      25         85         20        647        726         90   
   13      22         75         30         30         95         90   
   14      22         85         10        571        616         90   
   15      20         80         40        392        421         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         68          3        890       1156         90          1
    1      40         67         11        816       1144         90          2
    2      49         65          1         55        310         90          3
    3      38         68          2        703       1048         90          4
    4      46         68          5         15        257         90          5
    5      40         66          6        559        837         90          6
    6      42         67          9        172        558         90          7
    7      38         72          1        250        537         90          8
    8      34         65          2        489        714         90          9
    9      33         65          1        361        677         90         10
   10      34         67          2        450        833         90         11
   11      26         80         10        647        828         90         12
   12      25         73         22         30        138         90         13
   13      19         84          4        571        948         90         14
   14      23         79         29        392        589         90         15
   15      37         69          6        559        735         90          6
   16      37         63          2        172        342         90          7
   17      43         67          5        172        463         90          7
   18      18         75          2         30        401         90         13
   19      40         67          2        250        593         90          8
   20      25         72          1         30        320         90         13
   21      18         80          3        392        798         90         15
   22      36         68          1        172        507         90          7
   23      42         66          2        890       1198         90          1
   24      18         78          1        392        572         90         15
   25      41         68         12        816       1194         90          2
   26      42         66          1         55        454         90          3
   27      17         78          3        392        649         90         15
   28      39         64          3        361        500         90         10
   29      40         68          2        816       1028         90          2
   30      22         80          1        571        712         90         14
   31      42         66         13        250        460         90          8
   32      33         71          1        361        636         90         10
   33      24         83          1        571        835         90         14
   34      42         70          3         55        204         90          3
   35      44         64          5        890       1122         90          1
   36      40         64          1         15        271         90          5
   37      18         81          1        571        719         90         14
   38      40         60          1        172        460         90          7
   39      40         65          6        559        778         90          6
   40      47         69          2        816       1148         90          2
   41      17         80          1        392        645         90         15
   42      24         88          1        571        757         90         14
   43      45         61          1         15        266         90          5
   44      43         65          1         55        191         90          3
   45      31         73          4        450        654         90         11
   46      40         67          1        172        368         90          7
   47      45         68          1        816        962         90          2
   48      37         64          1         55        411         90          3
   49      18         79          3         30        291         90         13
   50      30         68          5        361        490         90         10
   51      39         73          3        250        415         90          8
   52      49         67          3        703        878         90          4
   53      41         64          1         15        246         90          5
   54      31         64          1        450        591         90         11
   55      21         81          2        647       1045         90         12
   56      44         70          1        816       1025         90          2
   57      24         85          1        647        768         90         12
   58      35         66          1        559        905         90          6
   59      25         81          1        392        509         90         15
   60      22         83          1        571        852         90         14
   61      36         67          1        172        289         90          7
   62      40         65          1        559        827         90          6
   63      28         82          4        647        809         90         12
   64      37         72          2        489        832         90          9
   65      31         83          2        647       1052         90         12
   66      35         65          1        450        654         90         11
   67      41         65          1         15        312         90          5
   68      37         61          2         55        382         90          3
   69      18         81          2        392        782         90         15
   70      18         87          1        571        817         90         14
   71      28         88          1        647        884         90         12
   72      43         68          1        250        376         90          8
   73      33         67          1        450        735         90         11
   74      41         68          1         15        406         90          5
   75      45         63          1        816        960         90          2
   76      37         72          3        489        708         90          9
   77      36         70          2        703       1106         90          4
   78      35         69          1        450        539         90         11
   79      17         79          2         30        242         90         13
   80      41         62          1        703        933         90          4
   81      41         67          1        703        948         90          4
   82      34         66          3        489        890         90          9
   83      45         69          1        703        837         90          4
   84      41         67          1         55        326         90          3
