C108_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        830       1049         90   
    2      45         70         30        756        939         90   
    3      42         66         10         16        336         90   
    4      42         68         10        643        866         90   
    5      42         65         10         15        226         90   
    6      40         69         20        499        824         90   
    7      40         66         20         87        308         90   
    8      38         68         20        150        429         90   
    9      38         70         10        429        710         90   
   10      35         66         10        279        488         90   
   11      35         69         10        363        590         90   
   12      25         85         20        547        826         90   
   13      22         75         30         30        280         90   
   14      22         85         10        489        698         90   
   15      20         80         40        318        495         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         65          4        830       1448         90          1
    1      42         72         18        756       1291         90          2
    2      38         62          2         16        743         90          3
    3      45         67          4        643       1177         90          4
    4      43         64          3         15        697         90          5
    5      40         69          3        499        762         90          6
    6      41         61          1         87       1241         90          7
    7      33         70          3        150        427         90          8
    8      32         68          4        429        811         90          9
    9      36         69          4        279       1121         90         10
   10      35         65          6        363       1106         90         11
   11      22         82          5        547       1477         90         12
   12      24         71         11         30       1009         90         13
   13      26         85          5        489       1313         90         14
   14      20         84         25        318       1053         90         15
   15      41         61          1         15        855         90          5
   16      22         77         13         30        370         90         13
   17      40         66          3         87       1112         90          7
   18      35         69          1        429        905         90          9
   19      43         64          7         87        950         90          7
   20      22         72          2         30       1137         90         13
   21      44         61          3         16        876         90          3
   22      42         67          9        150       1217         90          8
   23      23         84          2        489        922         90         14
   24      35         69          5         87        427         90          7
   25      40         66          2         15        295         90          5
   26      23         81          1        489       1377         90         14
   27      42         64          4        150        973         90          8
   28      44         62          1         15        484         90          5
   29      44         63          2        830       1549         90          1
   30      19         79          9        318        879         90         15
   31      37         72          1        429       1530         90          9
   32      40         68          1         16        543         90          3
   33      41         68          5        756       1578         90          2
   34      45         65          1         15       1190         90          5
   35      41         68          1         16       1107         90          3
   36      34         66          1         16        576         90          3
   37      19         86         10        547       1714         90         12
   38      19         73          1         30        438         90         13
   39      41         67          2        643        962         90          4
   40      21         82          3        318        740         90         15
   41      42         67          8        499       1616         90          6
   42      20         78          3        318        961         90         15
   43      38         72          1        429        905         90          9
   44      36         65          2        150        946         90          8
   45      45         69          1        830       1175         90          1
   46      36         68          1        429       1477         90          9
   47      46         68          1        830       1639         90          1
   48      38         73          1        150        675         90          8
   49      44         70          4        499        761         90          6
   50      44         64          1         16       1231         90          3
   51      20         67          1         30       1102         90         13
   52      41         69          1        429       1475         90          9
   53      34         58          2         87       1020         90          7
   54      40         64          1        643       1544         90          4
   55      39         71          1        499       1697         90          6
   56      49         71          1        830       1472         90          1
   57      44         72          3        756       1593         90          2
   58      37         64          2        279       1383         90         10
   59      32         62          1        150       1238         90          8
   60      44         72          2        643       1443         90          4
   61      45         65          1         15        877         90          5
   62      34         67          3        279       1345         90         10
   63      36         61          1         87        976         90          7
   64      46         69          1        756       1599         90          2
   65      16         88          1        547       1542         90         12
   66      24         84          1        547        900         90         12
   67      23         80          1         30        582         90         13
   68      40         65          2        499        990         90          6
   69      24         75          1         30        600         90         13
   70      40         67          1        756       1689         90          2
   71      39         64          1        429       1614         90          9
   72      32         73          2        363       1425         90         11
   73      41         61          1         87       1309         90          7
   74      37         72          1        363        684         90         11
   75      43         59          1         15       1245         90          5
   76      30         65          1        279       1194         90         10
   77      23         83          3        547       1133         90         12
   78      38         65          1        363       1294         90         11
   79      36         73          2        499        849         90          6
   80      23         82          2        489       1473         90         14
   81      37         70          1         16        580         90          3
   82      44         72          2        756       1553         90          2
   83      43         65          1        830       1591         90          1
   84      39         63          1        643       1121         90          4
