C109_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        760       1120         90   
    2      45         70         30        668       1028         90   
    3      42         66         10         16        376         90   
    4      42         68         10        575        935         90   
    5      42         65         10         15        375         90   
    6      40         69         20        482        842         90   
    7      40         66         20         18        378         90   
    8      38         68         20        110        470         90   
    9      38         70         10        390        750         90   
   10      35         66         10        204        564         90   
   11      35         69         10        297        657         90   
   12      25         85         20        507        867         90   
   13      22         75         30         30        390         90   
   14      22         85         10        414        774         90   
   15      20         80         40        227        587         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      45         66          4        760       1338         90          1
    1      46         74         18        668       1447         90          2
    2      41         65          2         16       1707         90          3
    3      44         63          4        575       1777         90          4
    4      37         63          1         15       1446         90          5
    5      38         67         12        482       2174         90          6
    6      43         62          8         18       1513         90          7
    7      34         66         14        110       1538         90          8
    8      31         73          5        390       1925         90          9
    9      38         68          2        204        650         90         10
   10      34         69          2        297       1401         90         11
   11      32         83         11        507       2163         90         12
   12      19         77          2         30       1723         90         13
   13      22         89          3        414        960         90         14
   14      17         86         25        227       1992         90         15
   15      43         68          4         15       1775         90          5
   16      40         61          4         18       1549         90          7
   17      25         77          3         30       1546         90         13
   18      48         77          1        668       1423         90          2
   19      38         67          2        575       1389         90          4
   20      19         84          6        227       1343         90         15
   21      20         84          3        414       1216         90         14
   22      35         64          2        204       1974         90         10
   23      22         78          6         30       1515         90         13
   24      38         64          1        110       1317         90          8
   25      20         78          5        227       1003         90         15
   26      39         69          1         18        466         90          7
   27      41         61          1         15       1785         90          5
   28      19         78         14         30       1156         90         13
   29      47         67          1         15        937         90          5
   30      42         68          2         16        860         90          3
   31      41         66          4         16       1781         90          3
   32      23         84          1        414       1128         90         14
   33      43         63          3        668       1625         90          2
   34      41         69          1         15       1041         90          5
   35      36         69          4        297       1167         90         11
   36      45         71          1        390        873         90          9
   37      34         62          4        204       1634         90         10
   38      33         74          1        297       1919         90         11
   39      40         69          4         18       1584         90          7
   40      43         66          3        668       1355         90          2
   41      38         70          1        390       1318         90          9
   42      45         66          1        668       1644         90          2
   43      40         65          1        482       1938         90          6
   44      37         67          1         18        807         90          7
   45      26         90          2        507       1649         90         12
   46      45         71          2        760       1442         90          1
   47      38         74          1        390       1086         90          9
   48      42         67          1        760       1741         90          1
   49      41         70          1         16       1190         90          3
   50      41         65          4        575       1158         90          4
   51      32         67          1        204        908         90         10
   52      31         88          1        507       1746         90         12
   53      39         73          2        110       1661         90          8
   54      39         76          3        482        953         90          6
   55      26         77          1        227       1648         90         15
   56      39         71          1        482       1419         90          6
   57      22         85          3        507       1114         90         12
   58      37         68          1        204       1974         90         10
   59      33         73          1         18       1649         90          7
   60      41         69          1        482       1278         90          6
   61      28         84          1        414       1434         90         14
   62      38         69          1        482       1243         90          6
   63      38         74          1        482       1227         90          6
   64      25         84          1        507       1279         90         12
   65      49         71          1        760       2086         90          1
   66      45         64          1        390       1981         90          9
   67      42         63          1         16       1004         90          3
   68      25         75          3         30       1062         90         13
   69      48         72          2        760       2029         90          1
   70      39         64          1         15       1818         90          5
   71      41         66          1         15       1659         90          5
   72      20         73          1         30       1044         90         13
   73      32         69          1        390       1765         90          9
   74      45         65          1         18       1346         90          7
   75      43         70          4        668       2358         90          2
   76      18         75          3        227        828         90         15
   77      43         74          1        297       1535         90         11
   78      19         82          1        414       1653         90         14
   79      39         68          2        297        725         90         11
   80      19         89          1        414       1795         90         14
   81      23         85          1        507       1527         90         12
   82      26         76          1         30        869         90         13
   83      41         68          3        110       1720         90          8
   84      25         89          1        507       2154         90         12
