R101_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0          35      35           0       0         230           0
    1          41      49          10     161         171          10
    2          35      17           7      50          60          10
    3          55      45          13     116         126          10
    4          55      20          19     149         159          10
    5          15      30          26      34          44          10
    6          25      30           3      99         109          10
    7          20      50           5      81          91          10
    8          10      43           9      95         105          10
    9          55      60          16      97         107          10
   10          30      60          16     124         134          10
   11          20      65          12      67          77          10
   12          50      35          19      63          73          10
   13          30      25          23     159         169          10
   14          15      10          20      32          42          10
   15          30       5           8      61          71          10
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         50          2        161        200         10          1
    1      34         19          1         50         95         10          2
    2      51         44          5        116        178         10          3
    3      55         17          2        149        211         10          4
    4      11         34          1         34         93         10          5
    5      30         32          1         99        144         10          6
    6      22         49          1         81        126         10          7
    7       6         44          2         95        153         10          8
    8      54         63          6         97        148         10          9
    9      33         60          4        124        167         10         10
   10      25         62          5         67        138         10         11
   11      56         36          8         63        134         10         12
   12      28         25          6        159        184         10         13
   13      10         13          9         32         75         10         14
   14      29          6          1         61         83         10         15
   15      32         18          3         50         97         10          2
   16      42         47          5        161        221         10          1
   17      13         11          5         32         54         10         14
   18      31         58         10        124        178         10         10
   19      55         42          3        116        160         10          3
   20      28          9          2         61        109         10         15
   21      51         44          1        116        167         10          3
   22      24         34          1         99        144         10          6
   23      54         21          7        149        190         10          4
   24      16          7          1         32         80         10         14
   25      17         62          1         67        124         10         11
   26      23         63          1         67        132         10         11
   27      30         24          8        159        207         10         13
   28      27         30          1         99        149         10          6
   29      29          4          1         61         97         10         15
   30      47         62          2         97        168         10          9
   31      26          2          1         61        108         10         15
   32      12         39          2         95        134         10          8
   33      31          0          1         61        104         10         15
   34      57         60          1         97        156         10          9
   35      45         50          3        161        230         10          1
   36      11         12          2         32         78         10         14
   37      13         11          1         32         84         10         14
   38      49         56          2         97        176         10          9
   39      55         56          3         97        132         10          9
   40      48         32          1         63        124         10         12
   41      13         31         17         34         84         10          5
   42      21         49          1         81        135         10          7
   43      12         11          1         32         66         10         14
   44      31         26          2        159        177         10         13
   45      13         61          1         67        128         10         11
   46      49         57          1         97        168         10          9
   47      15         65          1         67        110         10         11
   48      11          9          1         32         94         10         14
   49      19         31          4         34         71         10          5
   50      19         46          1         81        112         10          7
   51      12         32          1         34         90         10          5
   52      57         60          1         97        145         10          9
   53      49         48          1        116        168         10          3
   54      29         21          1        159        202         10         13
   55      55         18          2        149        194         10          4
   56      50         20          1        149        202         10          4
   57      18         48          1         95        159         10          8
   58      24         58          2        124        181         10         10
   59      33         19          2         50         86         10          2
   60      14         44          1         95        158         10          8
   61      40         23          1         50        124         10          2
   62      31          2          1         61         95         10         15
   63      52         45          1        116        153         10          3
   64      17         66          1         67        115         10         11
   65      16         64          2         67        122         10         11
   66      33          7          1         61        110         10         15
   67      18         33          1         34        101         10          5
   68      47         40          5         63        125         10         12
   69      27         24          2        159        187         10         13
   70      14         50          1         81        123         10          7
   71      13         55          1         81        157         10          7
   72       5         50          1         95        156         10          8
   73      59         19          2        149        205         10          4
   74      21         33          1         34         87         10          5
   75      16         28          1         34         74         10          5
   76       5         43          1         95        162         10          8
   77      49         36          2         63        106         10         12
   78      29         20          4        159        198         10         13
   79       8         43          1         95        123         10          8
   80      57         20          1        149        196         10          4
   81      55         16          4        149        197         10          4
   82      40         38          3         63        128         10         12
   83      57         44          1        116        155         10          3
   84      56         48          1        116        163         10          3
