R102_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20         32         42         10   
   15      30          5          8         61         71         10   
 
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      45         51          1          0        204         10          1
    1      34         16          3          0        202         10          2
    2      52         43          9          0        197         10          3
    3      55         23         13        149        187         10          4
    4       8         26          7          0        199         10          5
    5      27         28          1         99        124         10          6
    6      22         53          1          0        198         10          7
    7      16         40          1         95        152         10          8
    8      50         58          5         97        138         10          9
    9      32         60         13        124        175         10         10
   10      21         69          5         67         98         10         11
   11      46         37          8          0        205         10         12
   12      31         23          9        159        217         10         13
   13      10          9          4         32         74         10         14
   14      29          4          2         61         89         10         15
   15      55         43          1          0        197         10          3
   16      54         21          1        149        182         10          4
   17      15          5          9         32         89         10         14
   18      55         18          1        149        199         10          4
   19      26         65          1        124        184         10         10
   20      14         11          2         32         68         10         14
   21      56         65          6         97        137         10          9
   22      26         27          1         99        157         10          6
   23      35          4          1         61        121         10         15
   24      13         45          1         95        135         10          8
   25      34          3          1         61        111         10         15
   26      45         49          3          0        204         10          1
   27      19         68          3         67         95         10         11
   28      52         20          1        149        190         10          4
   29      43         38          5          0        205         10         12
   30      15         40          3         95        138         10          8
   31      56         19          1        149        170         10          4
   32      13         13          2         32         98         10         14
   33      36         12          1          0        202         10          2
   34      23         27          1         99        136         10          6
   35      13         41          1         95        136         10          8
   36      15         68          1         67        126         10         11
   37      24          7          1         61        119         10         15
   38      20         30         11          0        199         10          5
   39      26         55          2        124        192         10         10
   40      33          6          1         61        102         10         15
   41      14         15          1         32         71         10         14
   42      53         62          1         97        144         10          9
   43      61         58          1         97        160         10          9
   44      34         24          6        159        223         10         13
   45      40         47          3          0        204         10          1
   46      51         42          2          0        197         10          3
   47      24         43          1          0        198         10          7
   48      20         54          1          0        198         10          7
   49      51         38          1          0        205         10         12
   50      51         33          1          0        205         10         12
   51      49         36          1          0        205         10         12
   52      52         59          1         97        140         10          9
   53      31         28          4        159        198         10         13
   54      49         61          1         97        165         10          9
   55      29         28          1        159        213         10         13
   56      40         52          1          0        204         10          1
   57      32         22          1        159        194         10         13
   58       8         42          1         95        144         10          8
   59       8         42          1         95        145         10          8
   60      30          8          1         61        113         10         15
   61      23         50          1          0        198         10          7
   62      44         46          1          0        204         10          1
   63      31         29          1        159        219         10         13
   64       7         35          1         95        184         10          8
   65      49         47          1          0        197         10          3
   66      29         28          1        159        192         10         13
   67      58         55          1         97        166         10          9
   68      18         61          1         67        124         10         11
   69      18         28          3          0        199         10          5
   70      50         34          1          0        205         10         12
   71      40         48          1          0        204         10          1
   72      13         13          1         32         95         10         14
   73      53         20          1        149        196         10          4
   74      31          3          1         61         84         10         15
   75      17         33          2          0        199         10          5
   76      54         22          1        149        174         10          4
   77      40         19          3          0        202         10          2
   78      45         37          2          0        205         10         12
   79      11          5          1         32         94         10         14
   80      20         64          1         67        115         10         11
   81      21         67          1         67        114         10         11
   82      17         29          1          0        199         10          5
   83      20         49          1          0        198         10          7
   84      18         34          2          0        199         10          5
