R103_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20          0        187         10   
   15      30          5          8         61         71         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         44          5          0        204         10          1
    1      30         20          1          0        202         10          2
    2      56         44          4          0        197         10          3
    3      55         24          3        149        193         10          4
    4      12         33         19          0        199         10          5
    5      33         30          1         99        178         10          6
    6      17         48          1          0        198         10          7
    7       4         47          5         95        161         10          8
    8      55         61          3         97        138         10          9
    9      27         65          1        124        173         10         10
   10      15         62          3         67        112         10         11
   11      51         39         13          0        205         10         12
   12      27         25          6        159        195         10         13
   13      15         13         17          0        187         10         14
   14      30          3          1         61         93         10         15
   15      15         24          1          0        199         10          5
   16      56         17          3        149        203         10          4
   17      29         10          1         61        102         10         15
   18      30         11          1          0        202         10          2
   19      17         35          1          0        199         10          5
   20      16         12          1          0        187         10         14
   21       5         44          1         95        138         10          8
   22      16         30          1          0        199         10          5
   23      28         23          5        159        218         10         13
   24      20         68          1         67        113         10         11
   25      53         31          1          0        205         10         12
   26      40         18          2          0        202         10          2
   27      21         38          1          0        199         10          5
   28      53         36          1          0        205         10         12
   29      15         55          1          0        198         10          7
   30      28         24          1         99        177         10          6
   31      24         33          1         99        143         10          6
   32      56         43          2          0        197         10          3
   33      58         23          6        149        214         10          4
   34      40         49          1          0        204         10          1
   35      57         22          1        149        177         10          4
   36      50         34          2          0        205         10         12
   37      49         46          2          0        197         10          3
   38      15         50          1          0        198         10          7
   39      32         58          8        124        178         10         10
   40      26         60          3        124        177         10         10
   41      17         29          1          0        199         10          5
   42      38         15          1          0        202         10          2
   43      17         64          3         67        113         10         11
   44      33         56          1        124        171         10         10
   45      40         48          1          0        204         10          1
   46      33         59          1        124        149         10         10
   47      57         19          1        149        183         10          4
   48      29          3          1         61         92         10         15
   49      35         20          1          0        202         10          2
   50      22         67          2         67        112         10         11
   51      32         14          2         61        119         10         15
   52      54         40          2          0        197         10          3
   53      53         33          1          0        205         10         12
   54      17         34          2          0        199         10          5
   55      25          3          1         61        130         10         15
   56      52         17          1        149        202         10          4
   57      48         32          1          0        205         10         12
   58      29         61          1        124        173         10         10
   59      37         15          1          0        202         10          2
   60      55         41          1          0        197         10          3
   61      37         50          1          0        204         10          1
   62      12         10          1          0        187         10         14
   63      31         63          1        124        149         10         10
   64       6         41          1         95        157         10          8
   65      53         59         13         97        138         10          9
   66      41         52          1          0        204         10          1
   67      57         21          4        149        184         10          4
   68      35          1          1         61        115         10         15
   69      14         51          1         95        175         10          8
   70      28         24          3        159        184         10         13
   71      13         53          1          0        198         10          7
   72      30          9          1         61         95         10         15
   73      31         26          5        159        196         10         13
   74      53         42          1          0        197         10          3
   75      12         41          1         95        158         10          8
   76      28         24          3        159        215         10         13
   77      23         62          1         67        109         10         11
   78      23         52          1          0        198         10          7
   79      33         21          1        159        194         10         13
   80      46         52          1          0        204         10          1
   81      53         41          1          0        197         10          3
   82      26         66          1         67        130         10         11
   83      17          9          1          0        187         10         14
   84      20         66          1         67        104         10         11
