R106_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20         32         62         10   
   15      30          5          8         51         81         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      38         48          2          0        204         10          1
    1      35         22          4          0        202         10          2
    2      53         43          5          0        197         10          3
    3      59         17          3        139        207         10          4
    4      15         29         16          0        199         10          5
    5      20         31          1         89        193         10          6
    6      26         51          1          0        198         10          7
    7       9         46          1         85        153         10          8
    8      59         58          6         87        171         10          9
    9      31         61          7        114        153         10         10
   10      19         63          6         57        181         10         11
   11      50         38         13          0        205         10         12
   12      31         25         13        149        264         10         13
   13      13         10          7         32         81         10         14
   14      28          1          2         51        190         10         15
   15      30         60          4        114        246         10         10
   16      24         28          5        149        270         10         13
   17       9         41          1         85        160         10          8
   18      14         61          1         57        223         10         11
   19      51         44          2          0        197         10          3
   20      16         63          1         57        221         10         11
   21      24         30          1         89        128         10          6
   22      19         62          1         57        214         10         11
   23      15         11          8         32        132         10         14
   24      17          7          1         32         94         10         14
   25      58         60          1         87        158         10          9
   26      41         50          1          0        204         10          1
   27      57         42          2          0        197         10          3
   28      43         51          1          0        204         10          1
   29      48         59          2         87        235         10          9
   30      21         32          4          0        199         10          5
   31      49         60          5         87        214         10          9
   32      39         45          3          0        204         10          1
   33      21         49          1          0        198         10          7
   34      56         47          1          0        197         10          3
   35      18         47          1          0        198         10          7
   36      16         66          1         57        178         10         11
   37      32         17          1          0        202         10          2
   38      24         47          1          0        198         10          7
   39      54         42          1          0        197         10          3
   40       9         12          1         32        165         10         14
   41      20         52          1          0        198         10          7
   42      19         63          1         57        116         10         11
   43      24         26          1         89        239         10          6
   44      53         38          1          0        197         10          3
   45      14          8          1         32        156         10         14
   46      29          8          1         51         96         10         15
   47      38         62          1        114        230         10         10
   48      30          3          1         51        126         10         15
   49      32         57          1        114        224         10         10
   50      31          9          1         51        106         10         15
   51      42         49          1          0        204         10          1
   52      13          6          1         32        171         10         14
   53      27         31          1        149        262         10         13
   54      20          9          1         32        136         10         14
   55       8         43          7         85        201         10          8
   56      31         27          1        149        298         10         13
   57      51         20          1        139        198         10          4
   58      25          5          1         51        155         10         15
   59      34         61          1        114        216         10         10
   60      52         19          2        139        213         10          4
   61      37         11          1          0        202         10          2
   62      52         32          1          0        205         10         12
   63      28         30          1        149        254         10         13
   64      38         48          1          0        204         10          1
   65      42         14          1          0        202         10          2
   66      48         23          1          0        205         10         12
   67      58         45          1          0        197         10          3
   68      60         21          2        139        222         10          4
   69      30         29          1        149        287         10         13
   70      25         59          1        114        257         10         10
   71      28          4          1         51        136         10         15
   72      30         24          1        149        244         10         13
   73      49         32          1          0        205         10         12
   74      43         47          1          0        204         10          1
   75      51         60          1         87        244         10          9
   76      29         60          1        114        157         10         10
   77      21         64          1         57        113         10         11
   78      48         37          1          0        205         10         12
   79      15         30          6          0        199         10          5
   80      50         32          1          0        205         10         12
   81      29          5          1         51         91         10         15
   82      51         18         11        139        221         10          4
   83      54         36          1          0        205         10         12
   84      52         60          1         87        221         10          9
