R108_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16          0        194         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20          0        187         10   
   15      30          5          8         51         81         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         50          3          0        204         10          1
    1      30         23          1          0        202         10          2
    2      54         41          6          0        197         10          3
    3      53         17          5        139        220         10          4
    4      17         28          9          0        199         10          5
    5      27         31          1          0        208         10          6
    6      21         47          1          0        198         10          7
    7       8         44          3         85        242         10          8
    8      55         58          3         87        241         10          9
    9      25         57         11          0        194         10         10
   10      24         63          3         57        157         10         11
   11      49         32          3          0        205         10         12
   12      34         30         12        149        257         10         13
   13      17          5          7          0        187         10         14
   14      24          2          2         51        210         10         15
   15      33         16          1          0        202         10          2
   16      17         32         10          0        199         10          5
   17      15         55          1          0        198         10          7
   18      31         15          1          0        202         10          2
   19       9         12          5          0        187         10         14
   20      21         69          6         57        218         10         11
   21      25         10          1         51        219         10         15
   22      15         11          2          0        187         10         14
   23      31         62          1          0        194         10         10
   24      53         44          2          0        197         10          3
   25      38         47          2          0        204         10          1
   26       6         44          1         85        236         10          8
   27       5         45          1         85        242         10          8
   28      14         30          3          0        199         10          5
   29      22         30          1          0        208         10          6
   30      12         47          1         85        197         10          8
   31      17         63          1         57        206         10         11
   32      15         50          1          0        198         10          7
   33      51         43          1          0        197         10          3
   34      22         29          1          0        208         10          6
   35      20         27          2          0        199         10          5
   36      62         63          3         87        232         10          9
   37      54         65          5         87        192         10          9
   38      52         20          2        139        190         10          4
   39      53         17          2        139        235         10          4
   40      32         16          1          0        202         10          2
   41      58         59          1         87        203         10          9
   42      64         58          1         87        196         10          9
   43      37         15          1          0        202         10          2
   44      55         59          2         87        212         10          9
   45      22         46          1          0        198         10          7
   46      13         11          1          0        187         10         14
   47      56         19          2        139        266         10          4
   48      49         61          1         87        261         10          9
   49      26         60          1          0        194         10         10
   50      21         45          1          0        198         10          7
   51      27         59          1          0        194         10         10
   52       6         41          1         85        152         10          8
   53      43         45          3          0        204         10          1
   54      15         33          1          0        199         10          5
   55      14          7          2          0        187         10         14
   56      29         24          6        149        251         10         13
   57      48         36          2          0        205         10         12
   58      16          8          2          0        187         10         14
   59      20         64          1         57        138         10         11
   60      29         19          1          0        202         10          2
   61      29         20          2        149        265         10         13
   62      27         27          1        149        274         10         13
   63      46         50          1          0        204         10          1
   64      24          5          2         51        202         10         15
   65      37         15          1          0        202         10          2
   66      16          4          1          0        187         10         14
   67      32         54          2          0        194         10         10
   68      17         35          1          0        199         10          5
   69      15         67          1         57        128         10         11
   70      50         22          8        139        246         10          4
   71      50         27         13          0        205         10         12
   72      11         45          1         85        225         10          8
   73       8         43          1         85        164         10          8
   74      52         45          1          0        197         10          3
   75      27          6          1         51        165         10         15
   76      58         44          1          0        197         10          3
   77      31          0          1         51        123         10         15
   78      34         22          1        149        238         10         13
   79      42         50          1          0        204         10          1
   80      50         35          1          0        205         10         12
   81      28          0          1         51        126         10         15
   82      62         42          1          0        197         10          3
   83      56         46          1          0        197         10          3
   84      28         25          1        149        271         10         13
