R109_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        133        198         10   
    2      35         17          7         22         87         10   
    3      55         45         13         98        143         10   
    4      55         20         19        123        184         10   
    5      15         30         26         20         93         10   
    6      25         30          3         76        131         10   
    7      20         50          5         61        110         10   
    8      10         43          9         75        124         10   
    9      55         60         16         74        129         10   
   10      30         60         16        107        150         10   
   11      20         65         12         42        101         10   
   12      50         35         19         38         97         10   
   13      30         25         23        131        196         10   
   14      15         10         20         32        114         10   
   15      30          5          8         35         96         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         50          4        133        417         10          1
    1      34         12          3         22        121         10          2
    2      53         46          4         98        399         10          3
    3      52         16          4        123        292         10          4
    4      14         29         18         20         95         10          5
    5      24         30          1         76        240         10          6
    6      26         48          1         61        212         10          7
    7      11         41          3         75        253         10          8
    8      51         58         10         74        362         10          9
    9      29         56          2        107        232         10         10
   10      21         62          6         42        173         10         11
   11      56         37          6         38        316         10         12
   12      27         21         11        131        266         10         13
   13      12         12         11         32        196         10         14
   14      29          5          1         35        186         10         15
   15      20         62          1         42        215         10         11
   16      22         64          1         42        120         10         11
   17      53         39          2         98        294         10          3
   18      41         48          2        133        298         10          1
   19      18         52          1         61        359         10          7
   20      25         30          1         76        265         10          6
   21      20         48          1         61        180         10          7
   22      53         54          1         74        352         10          9
   23      43         49          1        133        258         10          1
   24      27          5          2         35        159         10         15
   25      33         53          6        107        328         10         10
   26      42         41          6         38        212         10         12
   27      49         37          2         38        324         10         12
   28      30         56          3        107        210         10         10
   29      30         25          3        131        353         10         13
   30      36         51          1        133        445         10          1
   31      14         48          1         75        373         10          8
   32      54         18          5        123        211         10          4
   33       5         46          1         75        278         10          8
   34      21         67          1         42        195         10         11
   35      17          9          3         32        196         10         14
   36      20         50          1         61        320         10          7
   37      28          3          2         35        300         10         15
   38      15         11          1         32        193         10         14
   39      44         33          1         38        143         10         12
   40      28         61          1        107        317         10         10
   41      49         46          3         98        402         10          3
   42      24         63          1         42        247         10         11
   43      59         17          1        123        322         10          4
   44      32         27          5        131        243         10         13
   45      51         61          1         74        271         10          9
   46      49         18          3        123        367         10          4
   47      59         22          3        123        337         10          4
   48      37         15          1         22        120         10          2
   49      15         10          2         32        275         10         14
   50      32          7          3         35        207         10         15
   51      29         24          1        131        199         10         13
   52      20          9          1         32        258         10         14
   53      24         30          1         76        190         10          6
   54       4         40          1         75        217         10          8
   55      50         34          2         38        221         10         12
   56      52         63          2         74        168         10          9
   57      14         23          4         20        136         10          5
   58      28         60          1        107        253         10         10
   59      29         22          1        131        359         10         13
   60      56         20          2        123        329         10          4
   61      50         41          1         38        231         10         12
   62      58         40          2         98        399         10          3
   63      50         31          1         38        243         10         12
   64      12         45          1         75        187         10          8
   65      57         40          1         98        390         10          3
   66      44         49          1        133        285         10          1
   67      15          7          1         32        108         10         14
   68       8         45          1         75        225         10          8
   69      54         58          2         74        340         10          9
   70      19         69          1         42        225         10         11
   71      40         50          1        133        252         10          1
   72      34         56          1        107        224         10         10
   73      20         65          1         42        309         10         11
   74      29         65          2        107        367         10         10
   75      29         22          1        131        246         10         13
   76       9         44          1         75        207         10          8
   77      55         44          1         98        181         10          3
   78      54         20          1        123        276         10          4
   79      10         29          4         20        244         10          5
   80      31         17          2         22        104         10          2
   81      19         48          1         61        301         10          7
   82      27         31          1        131        413         10         13
   83      40         17          1         22        303         10          2
   84      16          5          1         32        167         10         14
