R112_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10         73        204         10   
    2      35         17          7         18        147         10   
    3      55         45         13         76        165         10   
    4      55         20         19         73        195         10   
    5      15         30         26         20        167         10   
    6      25         30          3         49        158         10   
    7      20         50          5         36        135         10   
    8      10         43          9         50        149         10   
    9      55         60         16         47        156         10   
   10      30         60         16         85        172         10   
   11      20         65         12         33        152         10   
   12      50         35         19         15        133         10   
   13      30         25         23         79        208         10   
   14      15         10         20         32        187         10   
   15      30          5          8         30        152         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         50          1         73        419         10          1
    1      35         19          1         18        392         10          2
    2      51         46          3         76        271         10          3
    3      54         17          1         73        462         10          4
    4      11         31          1         20        344         10          5
    5      24         27          1         49        324         10          6
    6      19         48          1         36        183         10          7
    7      14         40          1         50        597         10          8
    8      54         56          2         47        451         10          9
    9      30         60          8         85        536         10         10
   10      24         67          8         33        173         10         11
   11      53         33          2         15        292         10         12
   12      29         22          4         79        219         10         13
   13      21         12         13         32        503         10         14
   14      36          5          1         30        363         10         15
   15      25         26          1         49        532         10          6
   16      24         57          1         85        417         10         10
   17      39         46          1         73        621         10          1
   18      28         27          7         79        365         10         13
   19      14         44          1         50        362         10          8
   20      19         64          1         33        485         10         11
   21      17         46          1         36        498         10          7
   22      17         37          3         50        610         10          8
   23      28         28          1         79        343         10         13
   24      24          3          1         30        422         10         15
   25      10         39          1         50        391         10          8
   26      28         26          5         79        209         10         13
   27      18         69          1         33        205         10         11
   28      25         26          1         49        526         10          6
   29      53         43          2         76        262         10          3
   30      28          6          1         30        580         10         15
   31      53         43          4         76        418         10          3
   32      56         48          1         76        642         10          3
   33      42         51          4         73        279         10          1
   34      29         63          3         85        337         10         10
   35      35         47          1         73        475         10          1
   36      52         23         13         73        273         10          4
   37      29         59          1         85        234         10         10
   38      27          4          2         30        384         10         15
   39      53         47          1         76        496         10          3
   40      12         40          1         50        193         10          8
   41      40         48          1         73        234         10          1
   42      51         52          8         47        522         10          9
   43      39         23          1         18        248         10          2
   44      48         27         11         15        493         10         12
   45      62         64          1         47        208         10          9
   46      17         50          1         36        276         10          7
   47      42         53          1         73        447         10          1
   48      17         65          1         33        504         10         11
   49      49         38          1         15        507         10         12
   50      57         59          3         47        478         10          9
   51      27         27          1         79        389         10         13
   52      57         37          1         76        345         10          3
   53      15         25         20         20        609         10          5
   54      33         63          1         85        363         10         10
   55      15         21          1         20        385         10          5
   56      28          2          1         30        290         10         15
   57      32         59          1         85        659         10         10
   58      13         34          1         20        387         10          5
   59      18         47          1         36        562         10          7
   60      47         30          1         15        497         10         12
   61      11         41          1         50        598         10          8
   62      28         23          4         79        396         10         13
   63      54         59          1         47        261         10          9
   64      30         16          2         18        266         10          2
   65      18         63          1         33        239         10         11
   66      37         64          1         85        365         10         10
   67      31         25          1         79        502         10         13
   68      56         18          5         73        403         10          4
   69      22         11          7         32        244         10         14
   70      50         42          1         76        572         10          3
   71      15         28          1         20        153         10          5
   72      35         18          1         18        590         10          2
   73      23         55          1         36        573         10          7
   74      20         32          1         20        447         10          5
   75      41         20          2         18        562         10          2
   76      11         45          1         50        219         10          8
   77      39         49          1         73        245         10          1
   78      52         61          1         47        577         10          9
   79      48         35          2         15        176         10         12
   80      49         34          1         15        405         10         12
   81      10         29          1         20        378         10          5
   82      29          6          1         30        331         10         15
   83      49         36          1         15        349         10         12
   84      31          3          1         30        388         10         15
