RC101_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        145        175         10   
    2      22         75         30         50         80         10   
    3      22         85         10        109        139         10   
    4      20         80         40        141        171         10   
    5      20         85         20         41         71         10   
    6      18         75         20         95        125         10   
    7      15         75         20         79        109         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
   11       8         40         40         59         89         10   
   12       8         45         20         64         94         10   
   13       5         35         10        142        172         10   
   14       5         45         10         35         65         10   
   15       2         40         20         58         88         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      28         82         10        145        309         10          1
    1      22         79          2         50        128         10          2
    2      28         84          3        109        226         10          3
    3      20         79         33        141        177         10          4
    4      18         87          5         41        157         10          5
    5      24         73         14         95        206         10          6
    6      19         78          8         79        206         10          7
    7      17         84          5         91        167         10          8
    8       6         28          7         91        170         10          9
    9      12         41         18        119        259         10         10
   10       8         39         19         59        101         10         11
   11       4         43          3         64        228         10         12
   12       2         39          5        142        226         10         13
   13       2         43          3         35        110         10         14
   14       6         40          6         58        189         10         15
   15      14         77          2         95        251         10          6
   16      17         73          8         79        136         10          7
   17      11         35          4         91        135         10          9
   18       5         45          2         35        134         10         14
   19      25         78         21         50        155         10          2
   20       7         41          3         58        136         10         15
   21      23         75          1         95        231         10          6
   22      22         83          6        145        262         10          1
   23       4         44          1         64        159         10         12
   24       5         40          1         35        177         10         14
   25       7         33          1        142        249         10         13
   26      23         81          2        141        222         10          4
   27      15         78          2         79        138         10          7
   28       6         38          1         35        173         10         14
   29      -1         44          1         35        185         10         14
   30       5         46          9         59        197         10         11
   31       5         39          3         59        213         10         11
   32      16         73          2         95        218         10          6
   33      18         76          1        141        262         10          4
   34      17         77          4         50        110         10          2
   35       3         37          1        142        205         10         13
   36      18         75          1         50        146         10          2
   37       6         46         10         64        182         10         12
   38      18         76          1         50        111         10          2
   39      14         89         11         41        200         10          5
   40       1         32          3         58        232         10         15
   41       9         42          2         59        167         10         11
   42      11         84          2         91        258         10          8
   43      28         85          2        145        215         10          1
   44      15         73          1         79        180         10          7
   45      14         38          8        119        238         10         10
   46       8         41          1         35        193         10         14
   47      12         43          4         59        161         10         11
   48      -1         36          2         58        114         10         15
   49       3         37          1        142        201         10         13
   50       7         44          1         35        178         10         14
   51      21         86          3        109        180         10          3
   52      20         81          2        109        213         10          3
   53       0         35          4         58        205         10         15
   54      27         85          1        145        200         10          1
   55       6         45          1         64        196         10         12
   56      20         87          1        109        208         10          3
   57       5         44          2         59        214         10         11
   58      10         34          1         91        163         10          9
   59      21         82          1         41        141         10          5
   60      17         76          1        141        288         10          4
   61      15         76          1         91        226         10          8
   62       9         38          1         59        134         10         11
   63       0         44          1         58        168         10         15
   64       2         33          1        142        264         10         13
   65      23         76          1        141        249         10          4
   66      17         78          1        141        221         10          4
   67      17         75          1         95        130         10          6
   68      20         85          1        109        261         10          3
   69      25         83          1        145        299         10          1
   70      16         73          1         79        173         10          7
   71      20         85          2         41         75         10          5
   72       9         36          2         91        138         10          9
   73      11         34          3        119        275         10         10
   74      20         82          1         41        103         10          5
   75      17         73          1         50        160         10          2
   76      22         81          1        141        184         10          4
   77      10         34          2         91        219         10          9
   78       3         40          1         58        185         10         15
   79      11         76          1         91        221         10          8
   80      10         76          1         91        259         10          8
   81       9         45          5         64        167         10         12
   82       8         38          4         91        156         10          9
   83       7         36          1        142        211         10         13
   84      11         39          1        119        272         10         10
