RC107_15_85

15	85

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        125        191         10   
    2      22         75         30         32         97         10   
    3      22         85         10        101        146         10   
    4      20         80         40         71        193         10   
    5      20         85         20         40        113         10   
    6      18         75         20         55        164         10   
    7      15         75         20         69        118         10   
    8      15         80         10         56        155         10   
    9      10         35         20         51        160         10   
   10      10         40         30         90        177         10   
   11       8         40         40         33        152         10   
   12       8         45         20         49        108         10   
   13       5         35         10         62        191         10   
   14       5         45         10         35        117         10   
   15       2         40         20         39        161         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      26         86         14        125        354         10          1
    1      27         70          3         32        334         10          2
    2      21         82          1        101        391         10          3
    3      22         79         30         71        449         10          4
    4      20         85         13         40        380         10          5
    5      17         69          7         55        184         10          6
    6      13         73         12         69        222         10          7
    7      11         78          2         56        504         10          8
    8       6         31          7         51        328         10          9
    9      11         40         20         90        341         10         10
   10       4         40         34         33        477         10         11
   11       5         45          3         49        223         10         12
   12       3         36          4         62        301         10         13
   13       8         48          3         35        327         10         14
   14       3         40         13         39        409         10         15
   15       0         39          2         39        162         10         15
   16      17         78          4         71        266         10          4
   17      20         72         15         32        321         10          2
   18      16         73          2         55        243         10          6
   19      11         72          1         69        243         10          7
   20       9         45          6         49        184         10         12
   21      23         81          2         71        198         10          4
   22       1         40          1         39        264         10         15
   23       3         42          2         35        257         10         14
   24      21         86          1         40        158         10          5
   25      12         41          8         49        346         10         12
   26      22         85          3        125        347         10          1
   27      21         80          1        125        573         10          1
   28      10         79          1         69        406         10          7
   29      19         73          5         55        307         10          6
   30      24         72          2         55        228         10          6
   31      25         76          4         32        434         10          2
   32      26         65          2         32        289         10          2
   33      14         73          1         55        447         10          6
   34       8         42          2         35        365         10         14
   35      16         68          3         69        390         10          7
   36      23         76          1         55        389         10          6
   37       2         28          2         62        423         10         13
   38      15         80          1         71        352         10          4
   39       8         38          4         90        294         10         10
   40      25         88          4        101        284         10          3
   41      21         85          2        101        208         10          3
   42       9         42          2         33        221         10         11
   43      19         86          1         40        434         10          5
   44      23         80          2        125        551         10          1
   45      26         79          1         71        249         10          4
   46      17         80          1         40        357         10          5
   47      11         37          2         90        537         10         10
   48       4         35          1         33        453         10         11
   49      17         86          2         40        321         10          5
   50       7         30          4         51        214         10          9
   51       2         34          1         39        215         10         15
   52      17         88          1        101        365         10          3
   53      17         79          1         71        359         10          4
   54      13         84          1         71        463         10          4
   55       3         38          1         39        297         10         15
   56       5         48          1         35        383         10         14
   57       7         42          1         49        473         10         12
   58      22         75          1         32        185         10          2
   59       9         44          1         35        400         10         14
   60       3         44          2         33        186         10         11
   61      20         73          3         32        182         10          2
   62       9         74          3         69        402         10          7
   63       3         41          1         39        306         10         15
   64      20         74          2         55        507         10          6
   65       3         33          1         39        495         10         15
   66       8         28          1         62        201         10         13
   67      25         76          2         32        407         10          2
   68      21         85          1        101        216         10          3
   69       9         42          1         90        316         10         10
   70       5         45          1         35        378         10         14
   71      15         73          5         56        479         10          8
   72      10         46          1         49        473         10         12
   73      14         88          1         40        345         10          5
   74       6         40          1         62        200         10         13
   75       2         33          1         62        271         10         13
   76      19         85          1        101        540         10          3
   77       4         37          1         62        432         10         13
   78      19         81          3         56        184         10          8
   79      11         38          9         51        325         10          9
   80      23         84          1         40        298         10          5
   81       8         36          2         90        258         10         10
   82      10         33          1         90        309         10         10
   83       7         48          1         49        419         10         12
   84       3         38          1         33        442         10         11
