C105_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        885        994         90   
    2      45         70         30        802        893         90   
    3      42         66         10         25        186         90   
    4      42         68         10        699        810         90   
    5      42         65         10         15        120         90   
    6      40         69         20        580        743         90   
    7      40         66         20        142        253         90   
    8      38         68         20        220        359         90   
    9      38         70         10        499        640         90   
   10      35         66         10        331        436         90   
   11      35         69         10        420        533         90   
   12      25         85         20        617        756         90   
   13      22         75         30         30        155         90   
   14      22         85         10        541        646         90   
   15      20         80         40        362        451         90   
   16      20         85         40        448        555         90   
   17      18         75         20         75        172         90   
   18      15         75         20        142        291         90   
   19      15         80         10        244        379         90   
   20      30         50         10         10        137         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      40         66          8        885       1249         90          1
    1      45         70         30        802       1185         90          2
    2      43         66          1         25        626         90          3
    3      43         66          4        699       1310         90          4
    4      38         63          4         15        364         90          5
    5      40         68         20        580        781         90          6
    6      35         64         10        142        628         90          7
    7      35         63          1        220        819         90          8
    8      34         68          3        499        943         90          9
    9      39         63          1        331        543         90         10
   10      34         69          3        420        979         90         11
   11      23         90          1        617        830         90         12
   12      19         73         24         30        220         90         13
   13      19         82          8        541       1096         90         14
   14      24         75          3        362        818         90         15
   15      21         87         25        448        715         90         16
   16      16         73          6         75        255         90         17
   17      12         75         15        142        401         90         18
   18      17         80          1        244        693         90         19
   19      30         46          4         10        375         90         20
   20      39         72          1        699       1259         90          4
   21      17         77          5        244        710         90         19
   22      24         86         12        617        999         90         12
   23      36         70          4        220        780         90          8
   24      41         66          2        699       1031         90          4
   25      38         64          4         15        386         90          5
   26      19         71          7         75        542         90         17
   27      34         64          1        699       1329         90          4
   28      14         78          1        244        398         90         19
   29      15         78          3         75        219         90         17
   30      21         83          8        448        847         90         16
   31      22         68          1         30        578         90         13
   32      43         66          3        142        477         90          7
   33      25         86          2        617        824         90         12
   34      49         65          1        885       1040         90          1
   35      30         62          2        331        542         90         10
   36      42         71          1        885       1508         90          1
   37      18         73          1        142        556         90         18
   38      31         70          3        420        952         90         11
   39      17         83          3        448        741         90         16
   40      17         76         34        362        694         90         15
   41      40         72          6        499        968         90          9
   42      33         63          1        420        592         90         11
   43      26         83          1        617        914         90         12
   44      12         79          1        244        519         90         19
   45      24         84          1        617        999         90         12
   46      23         83          5         30        469         90         13
   47      38         60          7        142        345         90          7
   48      28         67          1        420        977         90         11
   49      35         69          1        420        592         90         11
   50      16         88          1        448        924         90         16
   51      36         68          1        499        752         90          9
   52      14         79          1        244        489         90         19
   53      16         75          1         75        368         90         17
   54      39         69          1         15        582         90          5
   55      40         62          2        331        967         90         10
   56      39         66          1        699        851         90          4
   57      43         73          1        699       1171         90          4
   58      12         74          1         75        328         90         17
   59      13         79          1        244        834         90         19
   60      35         67          1        420        676         90         11
   61      22         82          2        448       1049         90         16
   62      24         81          2        617        786         90         12
   63      42         69          1        331        661         90         10
   64      18         74          1         75        327         90         17
   65      17         81          3        362        513         90         15
   66      41         70          9         25        492         90          3
   67      19         75          1         75        684         90         17
   68      36         68          5        220        577         90          8
   69      39         66          1         15        512         90          5
   70      22         85          2        541        932         90         14
   71      13         71          1        142        616         90         18
   72      20         85          1        448        825         90         16
   73      16         74          1        142        516         90         18
   74      37         67          3        331        709         90         10
   75      34         61          1        331        825         90         10
   76      32         49          6         10        395         90         20
   77      20         72          2        142        585         90         18
   78      40         70         10        220        799         90          8
   79      28         90          1        617       1089         90         12
