C106_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        890        989         90   
    2      45         70         30        816        879         90   
    3      42         66         10         55        156         90   
    4      42         68         10        703        806         90   
    5      42         65         10         15         60         90   
    6      40         69         20        559        764         90   
    7      40         66         20        172        223         90   
    8      38         68         20        250        329         90   
    9      38         70         10        489        650         90   
   10      35         66         10        361        406         90   
   11      35         69         10        450        503         90
   12      25         85         20        647        726         90   
   13      22         75         30         30         95         90   
   14      22         85         10        571        616         90   
   15      20         80         40        392        421         90   
   16      20         85         40        478        525         90   
   17      18         75         20        105        142         90   
   18      15         75         20        172        261         90   
   19      15         80         10        274        349         90   
   20      30         50         10         10         77         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         70          2        890       1214         90          1
    1      43         69         25        816       1123         90          2
    2      43         66          3         55        149         90          3
    3      37         66         10        703        841         90          4
    4      38         62          4         15        198         90          5
    5      38         74         14        559        895         90          6
    6      38         67          8        172        424         90          7
    7      34         65         17        250        572         90          8
    8      37         75          1        489        858         90          9
    9      37         67          7        361        539         90         10
   10      30         68          6        450        749         90         11
   11      18         88          6        647       1058         90         12
   12      26         72         20         30        169         90         13
   13      21         81          5        571        786         90         14
   14      15         77         29        392        733         90         15
   15      23         88         19        478        638         90         16
   16      18         78          6        105        295         90         17
   17      14         77         12        172        356         90         18
   18      18         78          7        274        522         90         19
   19      27         52          5         10        318         90         20
   20      19         90          6        478        840         90         16
   21      38         65          1        361        722         90         10
   22      31         65          4        489        665         90          9
   23      16         86          7        478        679         90         16
   24      44         64          3        890       1199         90          1
   25      40         68          1        250        596         90          8
   26      38         63          2         55        253         90          3
   27      29         54          1         10        306         90         20
   28      27         45          1         10        186         90         20
   29      21         85          1        571        717         90         14
   30      41         68          1        450        836         90         11
   31      20         87          7        647        978         90         12
   32      38         63          1         55        343         90          3
   33      38         66          7        172        513         90          7
   34      14         74          5        172        460         90         18
   35      22         86          1        571        764         90         14
   36      39         68          4        559        912         90          6
   37      17         81          3        274        439         90         19
   38      17         77          3        105        204         90         17
   39      31         50          1         10        337         90         20
   40      11         73          1        172        318         90         18
   41      19         81         11        392        581         90         15
   42      45         68          2         55        439         90          3
   43      34         69          1        250        517         90          8
   44      42         63          5        890       1070         90          1
   45      18         72          6         30        147         90         13
   46      35         64          1        361        622         90         10
   47      39         65          1        361        549         90         10
   48      38         62          6         15        374         90          5
   49      35         67          3        172        301         90          7
   50      35         70          1        489        740         90          9
   51      25         83          5        478        655         90         16
   52      40         71          1        450        655         90         11
   53      20         71          1         30        351         90         13
   54      41         67          1        559        877         90          6
   55      23         84          2        478        853         90         16
   56      32         50          1         10        307         90         20
   57      39         68          1        489        670         90          9
   58      39         72          1        559        892         90          6
   59      41         64          1         55        429         90          3
   60      16         72          5        105        380         90         17
   61      46         59          1         55        375         90          3
   62      38         62          1        489        711         90          9
   63      27         90          1        571        983         90         14
   64      23         77          1         30        343         90         13
   65      21         84          1        571        866         90         14
   66      38         61          1        172        359         90          7
   67      24         54          1         10        125         90         20
   68      16         73          2        172        561         90         18
   69      42         67          5        816       1040         90          2
   70      36         69          1        450        783         90         11
   71      41         67          1        172        290         90          7
   72      15         75          6        105        497         90         17
   73      42         69          1        250        579         90          8
   74      33         70          1        450        612         90         11
   75      25         89          1        571        753         90         14
   76      17         79          7        647        865         90         12
   77      42         68          2        489        780         90          9
   78      25         74          2         30        131         90         13
   79      22         81          1        478        652         90         16
