C107_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        850       1030         90   
    2      45         70         30        758        938         90   
    3      42         66         10         16        196         90   
    4      42         68         10        665        845         90   
    5      42         65         10         15        195         90   
    6      40         69         20        572        752         90   
    7      40         66         20        108        288         90   
    8      38         68         20        200        380         90   
    9      38         70         10        480        660         90   
   10      35         66         10        294        474         90   
   11      35         69         10        387        567         90   
   12      25         85         20        597        777         90   
   13      22         75         30         30        210         90   
   14      22         85         10        504        684         90   
   15      20         80         40        317        497         90   
   16      20         85         40        412        592         90   
   17      18         75         20         34        214         90   
   18      15         75         20        127        307         90   
   19      15         80         10        222        402         90   
   20      30         50         10         10        190         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      45         69          5        850       1584         90          1
    1      43         65          7        758       1617         90          2
    2      45         71          4         16        764         90          3
    3      37         72          3        665       1363         90          4
    4      41         65          8         15        574         90          5
    5      38         72          7        572       1077         90          6
    6      39         59         15        108        462         90          7
    7      32         65          2        200       1055         90          8
    8      34         71          2        480        905         90          9
    9      36         69          5        294        542         90         10
   10      34         70          7        387        708         90         11
   11      25         81         14        597       1387         90         12
   12      24         74         14         30        845         90         13
   13      23         87          3        504       1010         90         14
   14      20         78         11        317       1185         90         15
   15      16         80         28        412       1046         90         16
   16      16         79         10         34        502         90         17
   17      12         74         15        127        537         90         18
   18      12         79          7        222        875         90         19
   19      31         49          1         10        804         90         20
   20      34         68          2        294        610         90         10
   21      28         86          1        597       1117         90         12
   22      23         85          1        597       1479         90         12
   23      40         62          1         15        439         90          5
   24      43         69          1        850       1519         90          1
   25      29         68         10        200        883         90          8
   26      50         69          2        850       1392         90          1
   27      17         82         23        317        999         90         15
   28      35         63          1        294        904         90         10
   29      47         60          3        665       1079         90          4
   30      39         65          1         16        254         90          3
   31      18         79          1        222       1096         90         19
   32      34         70          1        387        878         90         11
   33      17         76          2         34        518         90         17
   34      40         73          1        665       1350         90          4
   35      23         72          4         30        755         90         13
   36      26         74          3         30        329         90         13
   37      35         68          5        480        934         90          9
   38      43         69          1         16        292         90          3
   39      41         66          3        758       1390         90          2
   40      44         65          2        850       1184         90          1
   41      19         76          3         30        319         90         13
   42      47         68         20        758        984         90          2
   43      16         85          6        317        962         90         15
   44      17         76          3         30        381         90         13
   45      42         66          1         15        310         90          5
   46      22         83          4        412        652         90         16
   47      24         85          5        412        830         90         16
   48      19         76          1         30        804         90         13
   49      15         71          2        127        805         90         18
   50      44         71          1        480       1239         90          9
   51      38         70          1        294        743         90         10
   52      14         79          1        222       1008         90         19
   53      36         68          1        480       1330         90          9
   54      20         84          3        412        734         90         16
   55      40         66          1         16        817         90          3
   56      36         69          1        200        497         90          8
   57      25         84          1        597       1120         90         12
   58      36         70          1        387        894         90         11
   59      32         90          1        597       1286         90         12
   60      40         71          7        200        965         90          8
   61      11         78          3        127        479         90         18
   62      22         82          1        597       1046         90         12
   63      36         70          1        294        922         90         10
   64      16         84          7        504        782         90         14
   65      44         63          1         16        703         90          3
   66      37         70          1        480        671         90          9
   67      42         70          1        665        962         90          4
   68      21         75          8         34        273         90         17
   69      45         68         13        572       1166         90          6
   70      36         66          1        387        594         90         11
   71      29         83          1        597       1014         90         12
   72      23         76          2         30        345         90         13
   73      29         49          5         10        653         90         20
   74      36         64          1         16        258         90          3
   75      40         64          1         16        522         90          3
   76      48         65          5        108        893         90          7
   77       6         79          1        222       1012         90         19
   78      37         68          2        665       1282         90          4
   79      26         52          4         10        299         90         20
