C108_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        830       1049         90   
    2      45         70         30        756        939         90   
    3      42         66         10         16        336         90   
    4      42         68         10        643        866         90   
    5      42         65         10         15        226         90   
    6      40         69         20        499        824         90   
    7      40         66         20         87        308         90   
    8      38         68         20        150        429         90   
    9      38         70         10        429        710         90   
   10      35         66         10        279        488         90   
   11      35         69         10        363        590         90   
   12      25         85         20        547        826         90   
   13      22         75         30         30        280         90   
   14      22         85         10        489        698         90   
   15      20         80         40        318        495         90   
   16      20         85         40        394        609         90   
   17      18         75         20         33        226         90   
   18      15         75         20         68        365         90   
   19      15         80         10        176        447         90   
   20      30         50         10         10        265         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      45         67          2        830       1949         90          1
    1      41         67         18        756       1526         90          2
    2      45         69          3         16        357         90          3
    3      43         62          2        643       1398         90          4
    4      40         64         10         15        825         90          5
    5      37         68         11        499       1341         90          6
    6      42         61         14         87        601         90          7
    7      37         67         15        150        790         90          8
    8      34         70         10        429        692         90          9
    9      35         64          4        279       1257         90         10
   10      34         68          4        363        768         90         11
   11      25         84          2        547       1356         90         12
   12      24         75          1         30       1221         90         13
   13      25         84          5        489       1419         90         14
   14      21         81         28        318       1218         90         15
   15      17         89         13        394       1340         90         16
   16      15         74         10         33        842         90         17
   17      16         80          5         68        438         90         18
   18      16         76          4        176        487         90         19
   19      32         51          3         10        956         90         20
   20      20         83          7        394       1286         90         16
   21      20         86          4        547       1728         90         12
   22      24         75         21         30        415         90         13
   23      13         79          2        176        950         90         19
   24      32         68          3        363        736         90         11
   25      28         65          1        279        651         90         10
   26      28         51          1         10        930         90         20
   27      21         76          6        318        760         90         15
   28      21         85          9        547       1560         90         12
   29      19         73          3         68        649         90         18
   30      12         77          8         68        339         90         18
   31      31         52          2         10        573         90         20
   32      28         46          1         10       1101         90         20
   33      43         72          3        499        992         90          6
   34      11         76          1         33        585         90         17
   35      22         44          1         10       1053         90         20
   36      24         80         10        394       1014         90         16
   37      20         81          4        318        593         90         15
   38      19         84          1        394        866         90         16
   39      23         79          1         30        811         90         13
   40      40         65          1        643       1041         90          4
   41      42         69          1        150        628         90          8
   42      47         67          4        643       1474         90          4
   43      21         77          4         30       1129         90         13
   44      25         52          1         10        836         90         20
   45      33         66          1        150       1200         90          8
   46      24         51          1         10        547         90         20
   47      42         63          1        643       1121         90          4
   48      14         78          1        176       1386         90         19
   49      40         71          1        150        565         90          8
   50      13         74          4         33        960         90         17
   51      17         80          1        318       1119         90         15
   52      13         73          1        318       1321         90         15
   53      37         60          6         87       1228         90          7
   54      42         66          8        756       1375         90          2
   55      21         76          1         30        960         90         13
   56      17         75          3        176        866         90         19
   57      21         78          1         30        820         90         13
   58      15         71          5         33        578         90         17
   59      24         87          3        394       1385         90         16
   60      40         70          2        643       1164         90          4
   61      35         69          6        499       1344         90          6
   62      37         63          7         16        998         90          3
   63      46         74          7        830       1572         90          1
   64      23         85          3        394        805         90         16
   65      26         80          2        547       1602         90         12
   66      25         70          1         30        512         90         13
   67      46         71          1        150       1269         90          8
   68      27         83          1        547       1266         90         12
   69      17         81          3        394        869         90         16
   70       6         78          3         68        843         90         18
   71      23         83          5        489        974         90         14
   72      28         82          1        547       1255         90         12
   73      45         72          4        756       1118         90          2
   74      15         70          1         68        910         90         18
   75      34         67          3        363       1458         90         11
   76      38         67          5        279        962         90         10
   77      40         60          1        150       1297         90          8
   78      47         65          1        830       1513         90          1
   79      24         85          1        547       1308         90         12
