C109_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0       1236          0   
    1      45         68         10        760       1120         90   
    2      45         70         30        668       1028         90   
    3      42         66         10         16        376         90   
    4      42         68         10        575        935         90   
    5      42         65         10         15        375         90   
    6      40         69         20        482        842         90   
    7      40         66         20         18        378         90   
    8      38         68         20        110        470         90   
    9      38         70         10        390        750         90   
   10      35         66         10        204        564         90   
   11      35         69         10        297        657         90   
   12      25         85         20        507        867         90   
   13      22         75         30         30        390         90   
   14      22         85         10        414        774         90   
   15      20         80         40        227        587         90   
   16      20         85         40        322        682         90   
   17      18         75         20         33        393         90   
   18      15         75         20         37        397         90   
   19      15         80         10        132        492         90   
   20      30         50         10         10        370         90   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         69         10        760       1667         90          1
    1      50         75         29        668       1109         90          2
    2      44         65          4         16        771         90          3
    3      42         71          5        575       1021         90          4
    4      46         63          6         15       1471         90          5
    5      44         73          4        482        993         90          6
    6      44         67          5         18       1102         90          7
    7      41         67          1        110        659         90          8
    8      36         68          4        390       2188         90          9
    9      38         63          4        204       1568         90         10
   10      32         64          2        297        907         90         11
   11      26         85         14        507       1307         90         12
   12      22         70         26         30       1158         90         13
   13      22         88          5        414       2210         90         14
   14      19         77         23        227       1385         90         15
   15      18         88         40        322       2052         90         16
   16      18         71         18         33       1083         90         17
   17      14         75          5         37        905         90         18
   18      11         77          4        132        979         90         19
   19      30         47          3         10       1175         90         20
   20      20         77         12        227        764         90         15
   21      16         72          4         37       1609         90         18
   22      30         74          4        297       1161         90         11
   23      34         70          1        297        825         90         11
   24      32         67          1        297       1238         90         11
   25      40         64          1         15        388         90          5
   26      38         67          1         15       1663         90          5
   27      45         69          1        668       1194         90          2
   28      23         82          1        227       1322         90         15
   29      16         82          5        132        767         90         19
   30      35         68         10        110       1459         90          8
   31      36         68          5         18        510         90          7
   32      12         69          8         37       1807         90         18
   33      40         69          9        110       1912         90          8
   34      24         88          2        507       2317         90         12
   35      34         69          1        297        909         90         11
   36      23         52          2         10        648         90         20
   37      28         85          1        507       1562         90         12
   38      19         84          1        414        880         90         14
   39      29         49          1         10        527         90         20
   40      40         63          3         18       1275         90          7
   41      41         69          1         18        818         90          7
   42      33         65          4        204        814         90         10
   43      45         62          2         18        411         90          7
   44      25         76          1        227        930         90         15
   45      21         83          1        414       1791         90         14
   46      23         71          1         30       1639         90         13
   47      18         77          1        227       1831         90         15
   48      32         64          2        204       1710         90         10
   49      31         51          1         10       1010         90         20
   50      35         68          1        297       1739         90         11
   51      41         62          1         15        614         90          5
   52      38         68          5        575       1221         90          4
   53      18         74          1         37       1557         90         18
   54      24         49          1         10       1173         90         20
   55      25         72          1         30        978         90         13
   56      38         69          4        390       1611         90          9
   57      28         86          1        507       1799         90         12
   58      24         43          1         10        796         90         20
   59      40         70          1        390       1540         90          9
   60      32         44          1         10       1810         90         20
   61      40         61          1         15        557         90          5
   62      18         83          1        132       1283         90         19
   63      39         76         13        482       2231         90          6
   64      36         73          3        482       2281         90          6
   65      39         66          1        390       1728         90          9
   66      24         82          1        227       1466         90         15
   67      23         86          1        414       1764         90         14
   68      41         66          6         16       1041         90          3
   69      23         84          1        414       2117         90         14
   70      21         76          1        227        852         90         15
   71      19         77          2         33       1400         90         17
   72      24         85          1        414       2015         90         14
   73      17         73          2         30        497         90         13
   74      29         87          1        507       1075         90         12
   75      16         77          1         37        520         90         18
   76      41         64          2         18        512         90          7
   77      15         73          1         37        493         90         18
   78      22         82          1        507        891         90         12
   79      38         64          2         18       1440         90          7
