R101_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0          35      35           0       0         230           0
    1          41      49          10     161         171          10
    2          35      17           7      50          60          10
    3          55      45          13     116         126          10
    4          55      20          19     149         159          10
    5          15      30          26      34          44          10
    6          25      30           3      99         109          10
    7          20      50           5      81          91          10
    8          10      43           9      95         105          10
    9          55      60          16      97         107          10
   10          30      60          16     124         134          10
   11          20      65          12      67          77          10
   12          50      35          19      63          73          10
   13          30      25          23     159         169          10
   14          15      10          20      32          42          10
   15          30       5           8      61          71          10
   16          10      20          19      75          85          10
   17           5      30           2     157         167          10
   18          20      40          12      87          97          10
   19          15      60          17      76          86          10
   20          45      65           9     126         136          10
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      37         48          1        161        192         10          1
    1      34         23          1         50         93         10          2
    2      58         46          5        116        161         10          3
    3      54         17          2        149        194         10          4
    4      18         31         24         34         92         10          5
    5      27         26          1         99        142         10          6
    6      18         53          1         81        144         10          7
    7       7         43          4         95        131         10          8
    8      57         57         12         97        127         10          9
    9      24         60          5        124        171         10         10
   10      21         61          1         67        123         10         11
   11      47         32         12         63        123         10         12
   12      33         23          9        159        189         10         13
   13      19          8          2         32         78         10         14
   14      29          1          1         61        104         10         15
   15       5         22          8         75        119         10         16
   16       2         30          1        157        212         10         17
   17      19         43          3         87        119         10         18
   18      13         60         17         76        119         10         19
   19      40         61          6        126        193         10         20
   20      14         39          4         87        129         10         18
   21      11         44          2         95        140         10          8
   22      53         21         11        149        172         10          4
   23      21         52          1         81        134         10          7
   24       2         31          1        157        198         10         17
   25      58         55          3         97        167         10          9
   26      56         19          2        149        181         10          4
   27      11          7          2         32         97         10         14
   28      31          5          4         61         82         10         15
   29      17         19          9         75        150         10         16
   30      32         15          4         50         83         10          2
   31      47         37          2         63        101         10         12
   32      51         21          1        149        205         10          4
   33      55         18          2        149        190         10          4
   34      14         13         13         32         57         10         14
   35      16         21          1         75        142         10         16
   36      19         47          1         81        120         10          7
   37      43         49          3        161        182         10          1
   38      20         36          1         87        139         10         18
   39      33         29          1         99        182         10          6
   40      17         35          1         87        157         10         18
   41      33          9          1         61        105         10         15
   42      11         41          1         95        120         10          8
   43      41         65          1        126        157         10         20
   44      50         68          1        126        178         10         20
   45      15         41          1         87        146         10         18
   46      28         31          1         99        144         10          6
   47      50         32          5         63        105         10         12
   48      23         64          3         67        128         10         11
   49      20         69          6         67        136         10         11
   50      44         50          6        161        220         10          1
   51      31          2          1         61        107         10         15
   52      51         60          1         97        135         10          9
   53      54         45          2        116        141         10          3
   54      30          5          1         61         90         10         15
   55      54         49          2        116        179         10          3
   56       2         43          1         95        150         10          8
   57      60         48          2        116        179         10          3
   58      21         65          1         67        113         10         11
   59      54         46          1        116        142         10          3
   60      17         41          1         87        147         10         18
   61      15         46          1         81        158         10          7
   62      52         16          1        149        201         10          4
   63      18         37          1         87        152         10         18
   64      56         47          1        116        160         10          3
   65      19         47          1         81        124         10          7
   66      10         11          2         32         89         10         14
   67      17         12          1         32         94         10         14
   68      18         28          1         34         82         10          5
   69      12         30          1         34         87         10          5
   70      19         67          1         67         89         10         11
   71      39         18          2         50         85         10          2
   72      27         26          1        159        206         10         13
   73      29         64         10        124        188         10         10
   74      28         27          8        159        208         10         13
   75      44         67          1        126        186         10         20
   76      28         26          5        159        195         10         13
   77       6         24          1         75        120         10         16
   78      12         44          1         95        133         10          8
   79      31         61          1        124        172         10         10
