R102_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20         32         42         10   
   15      30          5          8         61         71         10   
   16      10         20         19         75         85         10   
   17       5         30          2        157        167         10   
   18      20         40         12         87         97         10   
   19      15         60         17         76         86         10   
   20      45         65          9        126        136         10   
 
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      44         49          2          0        204         10          1
    1      37         19          1          0        202         10          2
    2      55         44          7          0        197         10          3
    3      54         15         14        149        218         10          4
    4      11         33          3          0        199         10          5
    5      26         32          1         99        140         10          6
    6      23         48          1          0        198         10          7
    7       6         38          4         95        169         10          8
    8      53         59         12         97        139         10          9
    9      37         58          6        124        171         10         10
   10      16         64          3         67        106         10         11
   11      50         35          8          0        205         10         12
   12      31         28         14        159        187         10         13
   13      11          6         12         32         92         10         14
   14      32          6          2         61         95         10         15
   15       7         19         19         75        126         10         16
   16       4         28          1        157        181         10         17
   17      13         41          3         87        144         10         18
   18      17         58         11         76        134         10         19
   19      47         65          4        126        175         10         20
   20      11         43          1         95        133         10          8
   21      14         63          3         67        135         10         11
   22      20         53          1          0        198         10          7
   23      18         60          3         67        139         10         11
   24      33         13          1          0        202         10          2
   25      30         13          1          0        202         10          2
   26      21         35          5         87        134         10         18
   27      44         62          1        126        170         10         20
   28      60         61          1         97        142         10          9
   29       4         29          1        157        189         10         17
   30       7         43          1         95        133         10          8
   31      44         63          1        126        168         10         20
   32      22         31          1         99        156         10          6
   33      27         27          1         99        145         10          6
   34      29          8          1         61         93         10         15
   35      19         62          1         67        117         10         11
   36      29         25          2        159        205         10         13
   37      20         66          1         67         99         10         11
   38      53         41          1          0        197         10          3
   39      56         21          5        149        192         10          4
   40      21         49          1          0        198         10          7
   41      41         48          6          0        204         10          1
   42      20         69          1         67        100         10         11
   43      40         49          1          0        204         10          1
   44      30          3          1         61        117         10         15
   45      56         44          4          0        197         10          3
   46      21         44          1          0        198         10          7
   47      34         24          3        159        210         10         13
   48      18         30         13          0        199         10          5
   49      31          0          1         61        118         10         15
   50      25          7          1         61        112         10         15
   51      32         15          1          0        202         10          2
   52      39         17          1          0        202         10          2
   53      37         11          1          0        202         10          2
   54      29         23          1        159        216         10         13
   55      27         60          9        124        175         10         10
   56      50         36          9          0        205         10         12
   57      54         57          1         97        140         10          9
   58      23         53          1          0        198         10          7
   59      39         21          1          0        202         10          2
   60      15         31          4          0        199         10          5
   61      54         60          2         97        113         10          9
   62      13         21          6          0        199         10          5
   63      13         53          1         76        154         10         19
   64      28         11          1         61        110         10         15
   65      54         32          2          0        205         10         12
   66      24         37          4         87        155         10         18
   67      41         65          1        126        176         10         20
   68       7         41          3         95        125         10          8
   69      57         46          1          0        197         10          3
   70      19         11          2         32         70         10         14
   71      36         61          1        124        198         10         10
   72       9         58          5         76        122         10         19
   73      45         64          2        126        160         10         20
   74      43         46          1          0        204         10          1
   75      32         23          1        159        196         10         13
   76      29         28          1        159        218         10         13
   77      30         23          1        159        198         10         13
   78      13          9          6         32         86         10         14
   79      29          0          1         61        117         10         15
