R103_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3         99        109         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16        124        134         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20          0        187         10   
   15      30          5          8         61         71         10   
   16      10         20         19          0        190         10   
   17       5         30          2        157        167         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      42         53          4          0        204         10          1
    1      36         14          5          0        202         10          2
    2      56         41          3          0        197         10          3
    3      54         15          5        149        209         10          4
    4      19         29          9          0        199         10          5
    5      21         27          1         99        165         10          6
    6      18         52          1          0        198         10          7
    7      10         44          3         95        149         10          8
    8      58         59          5         97        139         10          9
    9      28         60          1        124        152         10         10
   10      24         68          2         67        120         10         11
   11      48         37         15          0        205         10         12
   12      29         29          8        159        220         10         13
   13      11         10         20          0        187         10         14
   14      23          9          3         61        124         10         15
   15       8         19          1          0        190         10         16
   16       8         29          1        157        188         10         17
   17      22         37          8          0        204         10         18
   18      14         64          1          0        187         10         19
   19      41         64          4          0        188         10         20
   20      48         69          3          0        188         10         20
   21      18         30          3          0        199         10          5
   22      17         56          7          0        187         10         19
   23      51         33          1          0        205         10         12
   24      30         19          2          0        202         10          2
   25      13         25         11          0        199         10          5
   26      54         21          4        149        184         10          4
   27      45         63          1          0        188         10         20
   28      30         27          1         99        163         10          6
   29      54         29          2          0        205         10         12
   30      55         41          8          0        197         10          3
   31       9         43          3         95        129         10          8
   32      25         34          1         99        130         10          6
   33      10         20          7          0        190         10         16
   34       3         32          1        157        192         10         17
   35      53         59          2         97        154         10          9
   36      25         25          7        159        209         10         13
   37      14         61          3          0        187         10         19
   38      43         47          2          0        204         10          1
   39      35         58          1        124        188         10         10
   40      16         55          1          0        198         10          7
   41      19         61          3          0        187         10         19
   42      15         38          1          0        199         10          5
   43      41         51          1          0        204         10          1
   44      53         61          9         97        144         10          9
   45      20         68          2         67        129         10         11
   46      18         36          1          0        204         10         18
   47      45         64          1          0        188         10         20
   48      22         48          1          0        198         10          7
   49      30         26          1        159        212         10         13
   50      14         55          1          0        187         10         19
   51      55         18          2        149        197         10          4
   52      16         64          7         67        113         10         11
   53      16         62          1          0        187         10         19
   54      15         64          1         67        113         10         11
   55       9         43          1         95        144         10          8
   56      27         28          4        159        202         10         13
   57      55         45          1          0        197         10          3
   58      13         31          1          0        199         10          5
   59      14         61          1          0        187         10         19
   60      10         41          1         95        120         10          8
   61      58         18          2        149        178         10          4
   62       7         45          1         95        143         10          8
   63      29         62          8        124        145         10         10
   64      20         44          3          0        204         10         18
   65      34          0          3         61        133         10         15
   66      28         24          1        159        196         10         13
   67      46         33          1          0        205         10         12
   68      42         48          1          0        204         10          1
   69      18         29          1          0        199         10          5
   70      39         46          1          0        204         10          1
   71      57         21          6        149        178         10          4
   72      33         22          1        159        203         10         13
   73      20         50          2          0        198         10          7
   74      10         15         11          0        190         10         16
   75      31          2          2         61        103         10         15
   76      28         26          1        159        205         10         13
   77      41         45          1          0        204         10          1
   78      52         45          1          0        197         10          3
   79      30         59          6        124        143         10         10
