R104_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16          0        194         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20          0        187         10   
   15      30          5          8         61         71         10   
   16      10         20         19          0        190         10   
   17       5         30          2          0        189         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
   
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         51          2          0        204         10          1
    1      33         21          1          0        202         10          2
    2      51         48          6          0        197         10          3
    3      50         18         11        149        205         10          4
    4      12         27          5          0        199         10          5
    5      22         31          2          0        208         10          6
    6      21         52          1          0        198         10          7
    7      10         46          3         95        148         10          8
    8      57         64         11         97        142         10          9
    9      33         58          5          0        194         10         10
   10      22         66          3         67         88         10         11
   11      54         35          8          0        205         10         12
   12      27         24         16        159        191         10         13
   13      14          6          7          0        187         10         14
   14      21          3          4         61        140         10         15
   15      11         24          3          0        190         10         16
   16       4         30          1          0        189         10         17
   17      20         41          8          0        204         10         18
   18      10         56         10          0        187         10         19
   19      46         63          4          0        188         10         20
   20      51         19          2        149        190         10          4
   21      16         10          4          0        187         10         14
   22      16         13          1          0        187         10         14
   23      53         19          1        149        204         10          4
   24      11         38         16          0        199         10          5
   25      36         23          1          0        202         10          2
   26      14         65          2         67        144         10         11
   27      11         64          1          0        187         10         19
   28      26         52          1          0        198         10          7
   29      52         20          3        149        199         10          4
   30      12         18          1          0        190         10         16
   31      32         55          4          0        194         10         10
   32      16         13          5          0        187         10         14
   33      28         55          2          0        194         10         10
   34      11         23         11          0        190         10         16
   35      18         65          2         67        101         10         11
   36      15         67          1         67        132         10         11
   37      41         71          1          0        188         10         20
   38      55         46          5          0        197         10          3
   39      18         63          4          0        187         10         19
   40      10          3          2          0        187         10         14
   41       1         34          1          0        189         10         17
   42      14         60          1          0        187         10         19
   43      53         22          1        149        203         10          4
   44      27         35          1          0        208         10          6
   45      54         59          1         97        117         10          9
   46      46         65          3          0        188         10         20
   47      37         18          4          0        202         10          2
   48      33         61          4          0        194         10         10
   49      36         49          3          0        204         10          1
   50      27         24          1        159        209         10         13
   51      43         43          1          0        204         10          1
   52      15         37          1          0        204         10         18
   53      11         46          2         95        143         10          8
   54      20         52          1          0        198         10          7
   55      54         41          1          0        197         10          3
   56      30         59          1          0        194         10         10
   57      33          4          4         61        116         10         15
   58      39         53          4          0        204         10          1
   59      14         56          1          0        187         10         19
   60      49         33          5          0        205         10         12
   61      45         35          5          0        205         10         12
   62      32         13          1          0        202         10          2
   63      46         61          1          0        188         10         20
   64      18         48          1          0        198         10          7
   65      52         60          2         97        133         10          9
   66      22         48          1          0        198         10          7
   67      53         20          1        149        205         10          4
   68      53         64          2         97        134         10          9
   69       9         23          1          0        190         10         16
   70      18         60          3         67        127         10         11
   71      27         27          6        159        187         10         13
   72      48         31          1          0        205         10         12
   73      18         33          3          0        204         10         18
   74      12         41          4         95        136         10          8
   75      15         32          5          0        199         10          5
   76      12         16          1          0        187         10         14
   77       8         17          3          0        190         10         16
   78      57         47          1          0        197         10          3
   79      25         63          1         67        121         10         11
