R105_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10        151        181         10   
    2      35         17          7         40         70         10   
    3      55         45         13        106        136         10   
    4      55         20         19        139        169         10   
    5      15         30         26         24         54         10   
    6      25         30          3         89        119         10   
    7      20         50          5         71        101         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19         53         83         10   
   13      30         25         23        149        179         10   
   14      15         10         20         32         62         10   
   15      30          5          8         51         81         10   
   16      10         20         19         65         95         10   
   17       5         30          2        147        177         10   
   18      20         40         12         77        107         10   
   19      15         60         17         66         96         10   
   20      45         65          9        116        146         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      41         48          1        151        196         10          1
    1      35         17          1         40         93         10          2
    2      49         46          8        106        200         10          3
    3      57         20          3        139        222         10          4
    4      15         31         15         24         68         10          5
    5      25         29          1         89        184         10          6
    6      22         53          1         71        135         10          7
    7      12         47          9         85        194         10          8
    8      57         62          4         87        217         10          9
    9      30         56          1        114        172         10         10
   10      18         61          7         57        129         10         11
   11      48         32         14         53        136         10         12
   12      31         20          2        149        316         10         13
   13      16         14         10         32         95         10         14
   14      32          0          5         51        171         10         15
   15       3         16          3         65        193         10         16
   16       5         31          2        147        231         10         17
   17      19         36          7         77        225         10         18
   18      10         60          4         66        137         10         19
   19      46         65          2        116        239         10         20
   20      28         24         21        149        237         10         13
   21      32          3          1         51        197         10         15
   22      29         30          1         89        203         10          6
   23      17         41          1         77        187         10         18
   24      55         63          9         87        232         10          9
   25      17         27          1         24        156         10          5
   26      11         61          6         66        151         10         19
   27      35         14          3         40        193         10          2
   28      17         57          4         66        185         10         19
   29      57         43          1        106        267         10          3
   30      47         67          2        116        192         10         20
   31      40         49          5        151        212         10          1
   32      22         28          1         89        152         10          6
   33      15         65          1         57        160         10         11
   34      25         39          1         77        236         10         18
   35      24         -1          1         51        198         10         15
   36      55         45          1        106        238         10          3
   37      44         44          1        151        245         10          1
   38      26         59          1         57        162         10         11
   39      18         49          1         71        172         10          7
   40      41         68          3        116        175         10         20
   41      27         57          9        114        216         10         10
   42      45         51          2        151        235         10          1
   43      20         47          1         71        173         10          7
   44      52         54          3         87        222         10          9
   45      36         21          1         40        106         10          2
   46      48         68          1        116        246         10         20
   47      16         28          5         24         74         10          5
   48      48         32          1         53        137         10         12
   49      53         21          9        139        226         10          4
   50      14         31          1         24         84         10          5
   51      31         16          1         40        100         10          2
   52      14         59          1         57        217         10         11
   53      57         40          3        106        193         10          3
   54      40         49          1        151        294         10          1
   55      50         37          1         53        143         10         12
   56      17         12          5         32         99         10         14
   57      10         22         16         65        184         10         16
   58      10         34          2         24        199         10          5
   59      54         18          7        139        292         10          4
   60      17         54          1         71        157         10          7
   61      18         64          1         57        148         10         11
   62      10         27          1         24        123         10          5
   63      19         39          1         77        208         10         18
   64      13         55          2         66        194         10         19
   65      20         37          1         77        166         10         18
   66      21         50          1         71        183         10          7
   67      27         58          6        114        202         10         10
   68      20         63          1         66        233         10         19
   69      16         13          1         32        142         10         14
   70      46         35          1         53        180         10         12
   71      37         18          1         40        109         10          2
   72      23          5          1         51        175         10         15
   73      21         46          1         77        146         10         18
   74      15         30          1         24        138         10          5
   75      49         63          1        116        261         10         20
   76      16         10          4         32        137         10         14
   77      52         32          1         53        157         10         12
   78      23         70          1         57        138         10         11
   79      50         36          1         53        109         10         12
