R106_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20         32         62         10   
   15      30          5          8         51         81         10   
   16      10         20         19         65         95         10   
   17       5         30          2        147        177         10   
   18      20         40         12         77        107         10   
   19      15         60         17         66         96         10   
   20      45         65          9        116        146         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         46          4          0        204         10          1
    1      32         16          2          0        202         10          2
    2      50         49         11          0        197         10          3
    3      52         24         10        139        264         10          4
    4       9         25          9          0        199         10          5
    5      26         20          1         89        170         10          6
    6      15         50          1          0        198         10          7
    7      11         41          2         85        220         10          8
    8      61         55         10         87        172         10          9
    9      29         58          6        114        161         10         10
   10      22         66          1         57         99         10         11
   11      47         33         10          0        205         10         12
   12      29         23         10        149        203         10         13
   13      17          6          2         32        111         10         14
   14      28          6          3         51        122         10         15
   15       6         17          2         65        129         10         16
   16       3         28          1        147        204         10         17
   17      13         36          1         77        241         10         18
   18      13         61          3         66        220         10         19
   19      41         67          4        116        200         10         20
   20      53         63          2         87        171         10          9
   21       8         30          1        147        280         10         17
   22      31         30          8        149        249         10         13
   23      33          0          2         51        172         10         15
   24      43         48          3          0        204         10          1
   25      21         38          6         77        177         10         18
   26      34         59          9        114        188         10         10
   27      50         33          1          0        205         10         12
   28      58         20          2        139        249         10          4
   29      20         47          1          0        198         10          7
   30      53         63          1         87        229         10          9
   31       9         47          4         85        221         10          8
   32      52         22          2        139        197         10          4
   33      10         63          5         66        164         10         19
   34      16         41          1         77        188         10         18
   35      20         42          2         77        226         10         18
   36      44         48          1          0        204         10          1
   37      11         11          3         32        150         10         14
   38      18         36          2         77        157         10         18
   39      42         45          1          0        204         10          1
   40      52         60          1         87        198         10          9
   41      53         17          3        139        290         10          4
   42      30          6          1         51        180         10         15
   43      13         33          3          0        199         10          5
   44      11         12         15         32        166         10         14
   45      28         27          3        149        208         10         13
   46      16         69          9         57        184         10         11
   47      14         58          9         66        110         10         19
   48      23         30          1         89        231         10          6
   49       9         46          2         85        239         10          8
   50      34         15          1          0        202         10          2
   51      22         30          1         89        134         10          6
   52      20         48          1          0        198         10          7
   53      57         58          1         87        237         10          9
   54      52         33          1          0        205         10         12
   55      29         28          1        149        301         10         13
   56      21         64          1         57        123         10         11
   57      23          8          1         51        215         10         15
   58      40         44          1          0        204         10          1
   59      32         17          2          0        202         10          2
   60      32          9          1         51        129         10         15
   61      41         69          4        116        177         10         20
   62      11         32         14          0        199         10          5
   63      32         60          1        114        156         10         10
   64       9         44          1         85        137         10          8
   65      56         19          1        139        273         10          4
   66      15         52          1          0        198         10          7
   67      55         44          2          0        197         10          3
   68      44         62          1        116        196         10         20
   69      35         19          2          0        202         10          2
   70       9         18         10         65        137         10         16
   71      50         37          3          0        205         10         12
   72      15         53          1          0        198         10          7
   73      53         62          1         87        226         10          9
   74      29         21          1        149        285         10         13
   75      49         38          1          0        205         10         12
   76       7         19          7         65        186         10         16
   77      51         37          3          0        205         10         12
   78      55         19          1        139        200         10          4
   79      14         63          1         57        217         10         11
