R107_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3         89        119         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20          0        187         10   
   15      30          5          8         51         81         10   
   16      10         20         19          0        190         10   
   17       5         30          2        147        177         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      43         48          2          0        204         10          1
    1      35         23          1          0        202         10          2
    2      51         39          7          0        197         10          3
    3      53         19         10        139        211         10          4
    4      14         33         11          0        199         10          5
    5      24         32          1         89        201         10          6
    6      21         51          1          0        198         10          7
    7      11         34          4         85        222         10          8
    8      54         59          8         87        157         10          9
    9      23         57          1        114        295         10         10
   10      16         67          1         57        189         10         11
   11      51         38          4          0        205         10         12
   12      27         29          6        149        220         10         13
   13      13          7         11          0        187         10         14
   14      29         11          4         51        224         10         15
   15      11         19         18          0        190         10         16
   16       7         33          1        147        224         10         17
   17      22         37          1          0        204         10         18
   18      22         61          2          0        187         10         19
   19      44         63          4          0        188         10         20
   20      53         38          1          0        205         10         12
   21      45         64          1          0        188         10         20
   22      27         61         12        114        166         10         10
   23      33         27          9        149        259         10         13
   24      47         68          1          0        188         10         20
   25      10         30          8          0        199         10          5
   26      42         47          1          0        204         10          1
   27      60         60          5         87        217         10          9
   28      43         62          2          0        188         10         20
   29      30         17          1          0        202         10          2
   30      53         25          5        139        201         10          4
   31      58         48          3          0        197         10          3
   32      58         43          1          0        197         10          3
   33       3         31          1        147        263         10         17
   34      16         62          8          0        187         10         19
   35      51         34         12          0        205         10         12
   36      22         27          1         89        214         10          6
   37      27          6          3         51        166         10         15
   38      31         27          1         89        218         10          6
   39      10         35          2         85        267         10          8
   40      53         37          1          0        205         10         12
   41      30         22          4        149        301         10         13
   42      33         16          1          0        202         10          2
   43      19         42          5          0        204         10         18
   44      33         57          3        114        191         10         10
   45      36         22          1          0        202         10          2
   46      17         28          7          0        199         10          5
   47      18         52          2          0        198         10          7
   48      24         40          3          0        204         10         18
   49      36         52          4          0        204         10          1
   50      29          4          1         51        193         10         15
   51      54         43          1          0        197         10          3
   52      57         25          4        139        294         10          4
   53      18         64          5         57        175         10         11
   54      50         52          3         87        190         10          9
   55      12         45          2         85        211         10          8
   56      48         39          1          0        205         10         12
   57      20         42          1          0        204         10         18
   58       4         23          1          0        190         10         16
   59      23         67          2         57        180         10         11
   60      15         13          1          0        187         10         14
   61      18         62          1          0        187         10         19
   62      19         49          2          0        198         10          7
   63      54         46          1          0        197         10          3
   64      17         59          6          0        187         10         19
   65      25         68          1         57        147         10         11
   66      16         11          5          0        187         10         14
   67      35         21          1          0        202         10          2
   68      34         15          1          0        202         10          2
   69      15         16          2          0        187         10         14
   70      21         41          2          0        204         10         18
   71      35         25          2        149        244         10         13
   72      10         41          1         85        150         10          8
   73      17          7          1          0        187         10         14
   74      26         24          1        149        245         10         13
   75      36         49          3          0        204         10          1
   76      33         14          1          0        202         10          2
   77      30         21          1        149        248         10         13
   78      47         66          1          0        188         10         20
   79      17         63          3         57        148         10         11
