R108_20_80

20	80

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        139        169         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         85        115         10   
    9      55         60         16         87        117         10   
   10      30         60         16          0        194         10   
   11      20         65         12         57         87         10   
   12      50         35         19          0        205         10   
   13      30         25         23        149        179         10   
   14      15         10         20          0        187         10   
   15      30          5          8         51         81         10   
   16      10         20         19          0        190         10   
   17       5         30          2          0        189         10   
   18      20         40         12          0        204         10   
   19      15         60         17          0        187         10   
   20      45         65          9          0        188         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      38         50          4          0        204         10          1
    1      36         16          2          0        202         10          2
    2      53         44          3          0        197         10          3
    3      55         21          6        139        188         10          4
    4      21         34         10          0        199         10          5
    5      31         28          1          0        208         10          6
    6      23         47          1          0        198         10          7
    7      10         44          2         85        125         10          8
    8      57         60          7         87        211         10          9
    9      25         56         11          0        194         10         10
   10      14         66          1         57        230         10         11
   11      48         35         11          0        205         10         12
   12      25         27         13        149        245         10         13
   13      18         16         17          0        187         10         14
   14      29          6          3         51        194         10         15
   15      14         17         11          0        190         10         16
   16      10         33          1          0        189         10         17
   17      22         46          5          0        204         10         18
   18      17         58          8          0        187         10         19
   19      46         64          3          0        188         10         20
   20      54         17         10        139        239         10          4
   21      45         62          2          0        188         10         20
   22       8         32          1          0        189         10         17
   23      51         59          1          0        188         10         20
   24      48         65          1          0        188         10         20
   25      10         20          2          0        190         10         16
   26      27          8          1         51        119         10         15
   27      13         32          1          0        199         10          5
   28      14         34         10          0        199         10          5
   29      51         60          4         87        180         10          9
   30      32         14          1          0        202         10          2
   31      13         61          9          0        187         10         19
   32      31         65          2          0        194         10         10
   33      24         30          1          0        208         10          6
   34      33         28          4        149        293         10         13
   35      45         47          3          0        204         10          1
   36      38         47          1          0        204         10          1
   37      22         50          1          0        198         10          7
   38      53         48          2          0        197         10          3
   39      38         18          1          0        202         10          2
   40      10         44          3         85        197         10          8
   41      37         22          1          0        202         10          2
   42      20         67         11         57        136         10         11
   43      51         24          1        139        303         10          4
   44      12         18          2          0        190         10         16
   45      23         51          1          0        198         10          7
   46      10         47          3         85        236         10          8
   47      53         38          8          0        205         10         12
   48      52         22          2        139        251         10          4
   49      28          8          1         51        202         10         15
   50      26         65          1          0        194         10         10
   51      47         66          1          0        188         10         20
   52      22         38          3          0        204         10         18
   53       5         16          3          0        190         10         16
   54      18         11          1          0        187         10         14
   55      30         16          1          0        202         10          2
   56      29         24          2        149        277         10         13
   57      25         21          4        149        315         10         13
   58      32          3          1         51        185         10         15
   59       6         44          1         85        187         10          8
   60      41         46          1          0        204         10          1
   61      52         57          3         87        139         10          9
   62      45         48          1          0        204         10          1
   63      45         63          1          0        188         10         20
   64      15          6          2          0        187         10         14
   65      15         30          4          0        199         10          5
   66      24         39          1          0        204         10         18
   67      50         45          8          0        197         10          3
   68      12         31          1          0        199         10          5
   69       5         16          1          0        190         10         16
   70      50         58          2         87        177         10          9
   71      32         53          1          0        194         10         10
   72      20         43          2          0        204         10         18
   73      21         39          1          0        204         10         18
   74      28          7          2         51        108         10         15
   75      29         55          1          0        194         10         10
   76      34         13          1          0        202         10          2
   77      29         28          1          0        208         10          6
   78      21         50          1          0        198         10          7
   79      12         49          1          0        198         10          7
